ST,DIV1,DIV2,DIV3,DIV4,DIV5,DIV6,DIV7,DIV8,DIV9,DIV10,STATE_AREA,DIV1_PER,DIV2_PER,DIV3_PER,DIV4_PER,DIV5_PER,DIV6_PER,DIV7_PER,DIV8_PER,DIV9_PER,DIV10_PER
38,618,4571,3357,6562,4112,4674,7161,0,0,0,31055,0.019900177,0.147190469,0.108098535,0.211302528,0.13241024,0.150507165,0.230590887,0,0,0
39,12628,7859,7635,2828,10270,11049,8706,5863,10209,0,77047,0.163899957,0.102002674,0.099095357,0.036704868,0.133295261,0.143405973,0.112995964,0.076096409,0.132503537,0
40,11000,6962,14781,9501,0,0,0,0,0,0,42244,0.260392008,0.164804469,0.349895843,0.224907679,0,0,0,0,0,0
41,39406,25558,39005,33204,36171,35289,21467,12217,21949,3074,267339,0.147400866,0.095601465,0.145900897,0.124201856,0.135300125,0.132000943,0.080298797,0.045698533,0.082101751,0.011498509
42,21891,1376,5604,17527,11260,5723,21535,0,0,0,84916,0.25779594,0.016204249,0.06599463,0.206403976,0.13260163,0.067396015,0.253603561,0,0,0
43,4854,3177,1579,0,0,0,0,0,0,0,9609,0.505151421,0.330627537,0.164325112,0,0,0,0,0,0,0
44,7555,7751,7392,5237,5200,7681,0,0,0,0,40815,0.185103516,0.189905672,0.181109886,0.12831067,0.127404141,0.188190616,0,0,0,0
45,5039,1814,3614,9629,6205,9465,7010,11859,8333,5224,68192,0.073894298,0.026601361,0.052997419,0.141204247,0.090993078,0.138799273,0.102797982,0.17390603,0.122199085,0.076607227
46,1199,4408,5637,7307,2660,2969,0,0,0,0,24181,0.049584384,0.182291882,0.23311691,0.302179397,0.110003722,0.12278235,0,0,0,0
47,9698,9973,6188,7087,5424,4689,5531,4863,2701,0,56154,0.172703636,0.177600883,0.110196958,0.126206504,0.096591516,0.083502511,0.09849699,0.086601133,0.048099868,0
48,3936,5140,20347,11378,11397,3828,7167,11985,7520,15216,97914,0.040198542,0.052495047,0.207804808,0.116204016,0.116398064,0.039095533,0.073196887,0.122403334,0.076802092,0.155401679
66,279,405,517,593,563,1006,0,0,0,0,3363,0.082961641,0.120428189,0.153731787,0.176330657,0.167410051,0.299137675,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
