Region, State, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016
Northern,Wyoming,14847.5,0.4,1.1,3.5,237.4,23316.7,19553.6,38.1,33417.1,5891.5,53875.6,35527.7,53219.6,17633.8,13459.6,0.5,1706.8,960.0,482.3,621.6
Pacific Northwest,California,16.6,44.9,162.2,129.1,171.5,1211.0,863.2,4198.3,1837.3,446.4,489.9,72.9,445.0,1587.1,605.2,1462.6,159.5,4322.1,2319.2,1203.3
Pacific Northwest,Oregon,111433.5,98283.0,142620.3,142835.6,155439.4,377701.8,623421.3,714152.7,515584.7,566350.5,678005.4,683128.5,501221.9,572507.7,353641.8,294073.6,388444.8,453168.0,542346.6,582329.3
Pacific Northwest,Washington,141931.8,101765.9,163212.2,180541.6,334440.2,448502.0,905334.3,870862.9,1089207.5,656799.1,741798.6,811182.3,1269945.6,539549.5,378219.0,484282.2,344277.7,380160.3,228928.7,310455.3
Pacific Southwest,California,207545.7,97544.1,25146.1,60128.7,87045.2,930490.1,2975170.4,1647215.3,947392.5,398408.3,298801.7,206561.8,380065.1,702656.4,532960.7,507657.0,471254.0,865815.6,2755049.5,4288458.4
Pacific Southwest,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0,55471.2,49027.2
Pacific Southwest,Nevada,0,0,0,0,0,0,15367.9,5955.8,1.1,9.0,48.0,141.1,12.0,16.8,0,1.4,10.6,3265.8,94.3,24.5
Pacific Southwest,Oregon,203.5,68.8,15.8,59.3,17.4,428.1,4357.9,1329.2,325.4,21.7,145.4,223.9,303.8,520.4,157.7,115.9,40.0,890.1,479.0,499.8
Rocky Mountain,Colorado,111569.9,372717.2,259529.1,364004.6,432386.8,669717.2,1839700.9,1447864.6,1190436.0,1148312.4,1476090.4,2110125.5,1707205.0,1370687.8,1258079.2,817946.5,762262.4,741477.8,567936.6,504235.1
Rocky Mountain,Kansas,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain,Nebraska,0,510.0,0,0,0,0,10870.4,12560.4,1671.7,3982.1,5548.6,7236.3,291.0,180.9,50815.1,310.7,320.0,8331.4,1150.4,59.6
Rocky Mountain,South Dakota,9509.3,13714.5,19381.5,13591.6,139550.0,117470.7,240033.0,101382.8,25186.5,44147.7,28914.2,26992.9,23429.4,44620.9,66173.6,29878.8,32629.8,15199.7,15134.4,2230.4
Rocky Mountain,Wyoming,39919.5,9638.0,46073.2,83208.4,215180.3,212166.2,153420.4,338669.4,453488.5,296352.9,531320.8,740645.0,660251.0,691940.5,658809.1,147333.4,98172.1,169890.1,72075.8,24671.2
Southern,Alabama,0,0,0,0,0,3483.2,1386.8,2839.9,588.1,0,521.0,26.0,1.5,5.0,23.5,3.7,33.5,49.3,190.0,939.9
Southern,Arkansas,0,0,0,0,0,16815.4,596.8,0,0,0,0,0,0,234.1,0,0,0,181.2,14952.1,22604.2
Southern,Florida,0,0,0,0,0,1141.3,1637.2,24929.5,0,280.5,0,211.3,36.4,4.0,2.0,310.1,187.1,35.4,61.7,1121.1
Southern,Georgia,0,18.4,0,0,0,4197.0,974.7,274.9,265.0,362.3,7443.8,63.0,438.6,1701.4,54.1,0,318.6,2090.0,81.0,1173.0
Southern,Kentucky,0,0,0,0,0,3213.9,2425.6,730.3,1523.5,0,0,0,0.9,0,0,0,0,301.6,0,1323.1
Southern,Louisiana,0,0,0,0,0,44.6,202001.2,53.1,159899.0,102.4,49.5,7.8,27.1,11613.8,4.2,161.2,0.2,3.6,7944.0,0.8
Southern,Mississippi,0,0,0,0,0,545.2,1122.4,52.6,21149.9,13.7,69.4,1.8,5.1,179.5,60.5,1471.5,274.9,356.0,287.3,2051.9
Southern,North Carolina,0,0,0,0,0,26589.6,1120.2,551.0,7215.7,5239.0,19980.0,585.5,9122.3,5232.9,2168.9,10672.6,466.6,9462.3,8453.4,411.8
Southern,Oklahoma,0,0,0,0,0,2751.3,16670.3,4.0,0,0,0,204.2,0.0,0,0,5.5,0,40.7,0,230.7
Southern,South Carolina,0,0,61039.8,0,0,4.0,224.0,180.0,118.1,42.1,926.0,0.5,23.6,111.7,0,11.8,0,1562.2,0,0
Southern,Tennessee,0,0,0,0,0,22069.2,257.5,46.4,265.5,46.2,913.1,0.1,364.5,221.4,1406.4,0,1817.7,3719.3,0,5123.2
Southern,Texas,0,0,0,0,0,6470.9,62.5,5.9,13012.0,1019.4,0,0,0.8,34.8,21.7,20129.0,80.3,2.7,750.3,0
Southern,Virginia,834.8,0,0,1590.8,20.7,5695.7,4.0,3125.3,672.0,834.5,1529.6,185.3,672.7,26372.2,324.3,308.3,86.9,1636.1,92.0,6643.8
Southern,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.9
Southwestern,Arizona,77685.9,30241.0,12771.1,16143.0,134580.8,517271.6,1705515.3,138550.4,38787.4,30416.2,21571.6,19345.8,38829.7,22800.8,5524.9,47827.9,169979.8,145352.2,40768.0,112759.8
Southwestern,New Mexico,16678.0,13162.7,9400.4,46681.5,71888.4,177198.8,910185.7,293208.3,168159.8,180012.8,133802.2,120046.1,71489.1,34884.5,170488.0,175375.2,344584.5,202748.4,127498.5,107683.6
