State, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016
Oregon,111637.0,98351.8,142636.1,142894.9,155456.8,378129.9,627779.2,715481.9,515910.1,566372.2,678150.8,683352.4,501525.7,573028.2,353799.5,294189.6,388484.8,454058.1,542825.6,582829.1
Pennsylvania,0,0,2397.8,53.1,0,0.5,59720.3,306.0,16433.7,0,0,38360.7,113019.5,31714.7,20980.3,12550.5,260938.4,0.7,12985.3,21637.6
Rhode Island,0,0,0,0,0,0,15.8,33.1,0,12.6,852.8,0,222.4,3127.2,0,0,96.2,86.4,0,332.2
South Carolina,0,0,61039.8,0,0,4.0,224.0,180.0,118.1,42.1,926.0,0.5,23.6,111.7,0,11.8,0,1562.2,0,0
South Dakota,9537.7,13714.5,19381.5,13591.6,139958.8,117470.7,240291.8,101382.8,25386.3,44295.4,28999.9,27240.4,23451.4,44620.9,66237.3,29878.8,32739.4,15221.7,15134.4,2274.4
Tennessee,0,0,0,0,0,22069.2,257.5,46.4,265.5,46.2,913.1,0.1,364.5,221.4,1406.4,0,1817.7,3719.3,0,5123.2
Texas,0,0,0,0,0,6470.9,62.5,5.9,13012.0,1019.4,0,0,0.8,34.8,21.7,20129.0,80.3,2.7,750.3,0
Utah,224240.2,95675.2,66931.8,59234.6,141123.6,105374.4,364338.0,581502.6,335367.9,122677.9,435109.5,358332.0,271024.8,279899.2,98116.5,56938.3,100309.3,147570.0,146995.9,149323.8
Vermont,2303.9,78656.8,1160.4,905.0,1345.5,7144.7,16329.3,28407.7,35105.6,9460.0,46610.8,4089.4,23334.5,10852.1,7074.7,6295.4,15634.2,5949.3,7179.5,6136.4
Virginia,834.8,0,0,1590.8,20.7,5695.7,4.0,3125.3,672.0,834.5,1529.6,185.3,672.7,26372.2,324.3,308.3,86.9,1636.1,92.0,6643.8
Washington,141931.8,101765.9,163212.2,180541.6,334440.2,448502.0,905334.3,870862.9,1089207.5,656799.1,741798.6,811182.3,1269945.6,539549.5,378219.0,484282.2,344277.7,380160.3,231797.4,313881.0
West Virginia,868986.2,0,0,295935.2,0,11632.0,71284.7,484.7,48.0,75.3,0,331.9,8410.1,0,0,304.4,0,21807.3,530448.8,19070.6
Wisconsin,0,299271.9,0,0,1967.5,0,12208.5,0,1770.6,718.0,2498.7,944330.0,706255.8,518.2,176455.2,92237.2,200810.4,87686.0,72323.3,505023.3
Wyoming,120752.5,15340.4,57528.4,95311.7,229550.2,272503.9,291404.6,668502.2,745516.0,495011.4,1070882.1,1218284.3,1273423.0,1015355.8,800444.4,205536.5,144633.0,246676.9,129217.0,64985.4
