STATE_ABBR,EVAL_GRP_YEAR,total_removal,total_growth,total_mortality,total_inventory,total_hardwood,region
VT,2016,0,566044,0,25102137,5862491241,R9
WI,1983,1562845,11968412,1638075,671864753,13701520733,R9
WI,1996,5860852,16982214,1877922,1143653879,18316814963,R9
WI,2003,16940610,29694469,2222059,995288230,14181990999,R9
WI,2004,15773886,31127424,2034721,992336941,14319112926,R9
WI,2005,21228362,29318897,7856620,990621833,14521401930,R9
WI,2006,16009933,29913771,6739709,1006561033,14707142714,R9
WI,2007,14543536,27372699,5887326,1019545353,14909409563,R9
WI,2008,14728989,27661780,5685501,1036724054,15156549161,R9
WI,2009,13265384,25617985,5918375,1033828756,15179631857,R9
WI,2010,10392851,24374649,5646875,1037956385,15171150603,R9
WI,2011,11506599,23086214,5523014,1034642382,15275775506,R9
WI,2012,10178163,22760319,5591103,1029347354,15335342575,R9
WI,2013,9417408,23524468,5174089,1034413325,15441390494,R9
WI,2014,9642776,23846383,5489219,1039844578,15590238151,R9
WI,2015,8355936,23834461,5093280,1040033967,15640612146,R9
WI,2016,9249579,23571169,4434609,1037801248,15692767001,R9
WV,1989,13225958,43622869,4564607,1761508345,19108350099,R9
WV,2000,31213580,46977706,4596093,2141353016,21290767970,R9
WV,2006,29185020,50574712,11519787,2136717504,23295216315,R9
WV,2008,22724187,53743195,14327439,2266652099,23562095894,R9
WV,2009,26406301,56487886,16794873,2312494343,23664220995,R9
WV,2010,20782742,55188626,12219367,2316020061,23823330332,R9
WV,2011,29877816,59043488,11531883,2325043382,23770948943,R9
WV,2012,27273940,58024560,13588471,2271330132,23937103893,R9
WV,2013,24762041,55391595,13002724,2268572830,24163360059,R9
WV,2014,25437531,51938402,12432194,2243665341,24158461809,R9
WV,2015,19096540,52016470,13756919,2279103426,24316992772,R9
WV,2016,20360447,48947736,15348753,2288867450,24429394068,R9
