STATE_ABBR,EVAL_GRP_YEAR,total_removal,total_growth,total_mortality,total_inventory,total_hardwood,region
IL,2010,10537208,20548262,4666496,1020550560,6656625847,R9
IL,2011,8642300,19457321,5230357,1018557297,6708645187,R9
IL,2012,10023012,19747687,6364877,1016576663,6729223001,R9
IL,2013,10932165,19746961,7002207,1015239845,6684583201,R9
IL,2014,9510207,21932145,7752149,1026477292,6753801977,R9
IL,2015,9286780,21955149,9288929,1027206314,6818075426,R9
IL,2016,6985729,21638928,9419237,1031828864,6890795667,R9
IN,1986,5948275,13196875,1264486,818771903,5994229713,R9
IN,1998,6603166,18552291,3508606,802605748,6929333778,R9
IN,2003,15844682,13243941,2489285,790997007,7223542113,R9
IN,2004,4759397,27928701,1238524,806510775,7504293470,R9
IN,2005,12695928,34091205,997382,832416658,7889803831,R9
IN,2006,11658965,29355365,1609202,816855248,7939983096,R9
IN,2007,10282306,27309325,2171058,817713374,8381812788,R9
IN,2008,10487469,26496955,2474514,810913436,8283390110,R9
IN,2009,10503464,23684965,3079545,808683113,8181588241,R9
IN,2010,8312389,20218802,3467780,809985437,8461212124,R9
IN,2011,8094022,19927896,2825715,817041498,8620688716,R9
IN,2012,6581163,18749011,2778617,819413790,8753754767,R9
IN,2013,6740556,18967133,2714252,836575189,8862904531,R9
IN,2014,7367960,19473075,2055590,817571165,8959152661,R9
IN,2015,5609801,19279276,3100239,806074065,9052062675,R9
IN,2016,7239384,18997394,2922212,822439918,9131855703,R9
KS,1981,0,2206003,315434,110193710,813476719,R2
KS,1994,268326,2510259,1073178,182690391,1621227867,R2
KS,2006,841115,2378340,0,117804950,1150255889,R2
KS,2007,894858,2435041,0,119577406,1164645002,R2
KS,2008,1338644,1824923,0,107717728,1129993992,R2
KS,2009,1631461,2410825,573137,117772562,1396505132,R2
KS,2010,1364057,2263378,511196,110056578,1411728326,R2
KS,2011,2308681,1771515,206498,107996063,1396966904,R2
KS,2012,2022691,1838410,214799,102685914,1398521131,R2
KS,2013,1582928,1390883,196970,93087536,1387653461,R2
KS,2014,1627230,2588105,205262,106974712,1417256412,R2
KS,2015,1253402,2317194,220295,103872504,1413131249,R2
KS,2016,1311485,2353530,232528,100621886,1294993558,R2
KY,1988,21160089,41692238,4042938,1991358557,14817285228,R8
KY,2006,48041640,91421339,12633981,2577978571,17808789636,R8
KY,2007,55971222,89918319,13937912,2625238715,18403591817,R8
KY,2008,51916726,87608860,12939060,2668285323,18748701333,R8
KY,2009,50212722,83886153,12129521,2689425514,18981162839,R8
KY,2010,48498481,78259469,10629850,2710270916,19201449059,R8
KY,2011,44988778,73181144,11620887,2692505705,19219171999,R8
KY,2012,32825713,69105527,10035530,2757577963,19593929499,R8
KY,2013,36936695,65464916,9034587,2755267158,19546703642,R8
KY,2014,36410196,62924506,8867675,2680202824,19324834852,R8
KY,2015,36408773,63848049,9037438,2702819717,19516740746,R8
LA,1974,11088741,15825855,495293,329038982,7644447340,R8
LA,1984,11479323,19675187,1334852,376157037,8407852241,R8
LA,1991,11944270,17004572,1368498,411575862,8914792221,R8
LA,2005,13631442,16379075,2220685,589656041,9872163630,R8
LA,2009,14914259,18752814,1583909,597978072,9834944830,R8
LA,2010,11359845,17307632,5644120,590543372,9755151268,R8
LA,2011,10364123,16488467,7930806,585905600,9591471275,R8
LA,2012,9576531,15724384,6485687,575500741,9483565113,R8
LA,2013,8878687,17790849,6905742,590526979,9459559109,R8
LA,2014,9386754,18052483,6476947,577817495,9463194932,R8
LA,2015,9897792,17861736,5811949,575484697,9574788666,R8
MA,1985,1101581,2066268,1355554,139936567,3254232129,R9
MA,1998,3339983,1161560,1014984,138396767,3662168199,R9
MA,2006,1486285,4369679,372583,198032226,4259447238,R9
MA,2007,1310402,4228305,370898,208199915,4224938418,R9
MA,2008,1124877,3221145,76696,202966250,4188567228,R9
MA,2009,601852,3355344,369784,205606088,4279891729,R9
MA,2010,580606,3799163,1284361,210906113,4316058508,R9
MA,2011,466977,4140470,1015988,214455053,4326704897,R9
MA,2012,782516,4098616,960850,221143846,4371616945,R9
MA,2013,505265,4152236,1013518,222205323,4444972041,R9
MA,2014,514244,4295347,1006220,230606484,4453956553,R9
MA,2015,513307,4410523,1005383,240646177,4428949127,R9
MA,2016,404578,4378514,481579,243895024,4469632314,R9
MD,1986,11035733,12132453,816372,415454917,3714950492,R9
MD,1999,8444180,6742609,3714165,488900596,4299640497,R9
MD,2006,753302,7825518,1718313,441977450,4787371762,R9
MD,2008,2457051,8081173,2598346,484911044,4777639166,R9
MD,2009,0,8033154,1389877,469022845,4677457735,R9
MD,2010,1392432,10690446,2655648,517317889,4680766046,R9
MD,2011,5434841,11498322,4063778,521717877,4538623009,R9
MD,2012,7163084,11083858,3279049,507747218,4586737576,R9
MD,2013,5943587,10777769,3079343,493122135,4681332725,R9
MD,2014,5989714,10843413,4098244,490802608,4610137921,R9
MD,2015,6175433,11787197,4694803,502820241,4655576838,R9
MD,2016,5643891,11747837,4948769,504525989,4750312460,R9
ME,1995,105900,357113,26655,17958660,9337574578,R9
ME,2006,374983,410108,82807,22605937,10647712758,R9
ME,2007,359300,521266,61938,22477910,10520912741,R9
ME,2008,278633,511874,49127,23147648,10512997142,R9
ME,2009,381476,501787,52239,22958840,10445449559,R9
ME,2010,198797,678627,53113,24213998,10482425352,R9
ME,2011,340397,707742,11830,24088280,10561207989,R9
ME,2012,609206,707933,11783,23672514,10541426052,R9
ME,2013,612331,707405,11878,24885436,10530906068,R9
ME,2014,419825,708541,11429,24129700,10392729939,R9
ME,2015,587805,717290,11516,24808520,10241293149,R9
ME,2016,466961,699601,0,25145214,10070044127,R9
MI,1980,0,11618992,653939,574755497,14598341078,R9
MI,1993,2089641,13933652,856797,879188484,21651637655,R9
MI,2003,4241168,18548550,2817304,707958104,18103027036,R9
MI,2004,3527877,18008813,2422958,695531126,18177729568,R9
MI,2005,5572583,19482130,513227,694570358,18350319976,R9
MI,2006,6568016,19988060,1878387,727472957,18668608746,R9
MI,2007,5646712,21546208,4071669,731087636,18755267967,R9
MI,2008,4006356,20188962,3165371,751225943,19029307972,R9
MI,2009,3885335,20801777,3095186,777359749,19245680588,R9
MI,2010,3601173,20321848,2559346,793164758,19608184636,R9
MI,2011,2502511,20247383,2546439,810652396,20110570999,R9
MI,2012,2722180,20162922,3422660,821940288,20439896817,R9
MI,2013,2250420,21553613,2944853,859209552,20697193770,R9
MI,2014,3199993,21154397,2811350,862200286,20680701695,R9
MI,2015,3580401,20582582,2798667,858476702,20662687897,R9
MI,2016,4056974,20927348,2653732,863698723,20736921615,R9
MN,1977,0,10095582,917360,451262041,8858640283,R9
MN,1990,2804443,12796781,908015,680321373,12999805629,R9
MN,2003,4070346,30170167,1157568,799407408,10236119415,R9
MN,2004,8086472,27291820,2044181,798766024,10184680368,R9
MN,2005,5522128,28453582,1966696,763696959,9955353799,R9
MN,2006,5199847,25230896,2304616,734567040,9712410324,R9
MN,2007,5328998,24645173,2284845,746150887,9526944049,R9
MN,2008,5030917,24155475,2695358,699298149,9302765135,R9
MN,2009,4320766,23213268,2624634,679201063,9189435346,R9
MN,2010,3528956,21024377,2679879,698218459,9307010435,R9
MN,2011,3054922,19529634,2756604,714519570,9427534576,R9
MN,2012,2601985,18831757,2561373,731533670,9529790458,R9
MN,2013,2804557,19221987,2579769,765396762,9768781606,R9
MN,2014,2603861,18432699,2169547,787907549,10006226896,R9
MN,2015,3195889,18699207,2097752,821739237,10203975096,R9
MN,2016,3275923,18842504,2730164,819481389,10316595610,R9
MO,1989,5629419,53142289,4680063,2347951470,8868764310,R9
MO,2003,27360366,125559282,6980926,3447607921,13319544400,R9
MO,2004,36705467,133051254,18895452,3601708831,13966943495,R9
MO,2005,33963206,119357237,13575700,3729251992,14479029832,R9
MO,2006,31725738,119178121,15100441,3908772477,15135911540,R9
MO,2007,33481392,114099062,14919581,3982060507,15199744652,R9
MO,2008,36702372,113625715,14877741,3990696999,15290491860,R9
MO,2009,35609497,109293913,15498834,3965177899,15238041369,R9
MO,2010,37441037,108855033,18200835,3936276697,15161368464,R9
MO,2011,39352682,106959794,19494895,3970364442,15223340723,R9
MO,2012,38015460,103209198,22415475,3992828970,15246865878,R9
MO,2013,36654164,100797216,27816383,3977179740,15175660738,R9
MO,2014,34386373,101970808,31169720,3998852945,15227613950,R9
MO,2015,32214450,99589005,35626321,3998144919,15148134541,R9
MO,2016,30071519,99256642,39492181,4014028321,15193969554,R9
MS,1977,17856913,30045702,1709712,747562725,8413076392,R8
MS,1987,22694829,44175955,2189641,984307734,10903783419,R8
MS,1994,45836277,41287775,2790202,975411282,11402674518,R8
MS,2006,28988271,38383553,5979863,1128369701,12943750174,R8
MS,2009,19580882,51358853,3743919,1146247309,13031024414,R8
MS,2010,12511243,50382460,16013196,1159283500,13102014091,R8
MS,2011,24319278,53008578,11561101,1161822884,13147107645,R8
MS,2012,22734929,49313114,11828479,1159270981,12909385872,R8
MS,2013,24595980,49301298,10931630,1139175777,12792006369,R8
MS,2014,22388042,46866508,9496931,1096960830,12742206624,R8
MS,2015,21314460,46900738,8892793,1112349631,12723443249,R8
MS,2016,19701393,45117077,5579563,1097243430,12650900204,R8
NC,1974,43380179,65330176,2002210,1556556761,14423806342,R8
NC,1984,37430769,64211198,3326884,1762552379,17710736849,R8
NC,1990,47820555,63565570,6941196,2065284383,20211938357,R8
NC,2002,55946778,64529761,14313863,1820943845,19397507244,R8
NC,2007,49871531,74388764,6859808,1821983929,20439694807,R8
NC,2009,40907415,78626598,6819185,1849256237,20773344264,R8
NC,2010,41570873,83511259,7571009,1863659368,20907113644,R8
NC,2011,40931405,87731054,7655245,1897120873,21241813342,R8
NC,2012,41712847,88461534,5819047,1903312155,21481703079,R8
NC,2013,41898046,82967862,8037782,1926182298,21803940926,R8
NC,2014,39109045,82895509,8076975,1982438073,22384618917,R8
NC,2015,38312806,81978569,8304194,1982604280,22667868871,R8
