years,sim_number,value
2034,V3,26301003622.99794
2035,V3,26773229358.490807
2036,V3,27271425808.120102
2037,V3,27788922194.64413
2038,V3,28326007506.37038
2039,V3,28883632326.951527
2040,V3,29461530135.94405
2041,V3,30062874534.117126
2042,V3,30686922384.671207
2043,V3,31330232278.91843
2044,V3,32002021066.01532
2045,V3,32700638463.23165
2046,V3,33426471871.031204
2047,V3,34167943895.294743
2048,V3,34950737786.762085
2049,V3,35748846502.22607
2050,V3,36590106094.208466
2051,V3,37468256714.40839
2052,V3,38379489899.99688
2053,V3,39326240863.674515
2054,V3,40311822336.69836
2055,V3,41334875429.07017
2056,V3,42400853571.85242
2057,V3,43509366974.93308
2058,V3,44661141717.65444
2059,V3,45859138261.82143
2060,V3,47107347868.909355
2061,V3,48404410814.63747
2062,V3,49756709317.44996
2063,V3,51125965901.875725
2064,V3,52587926514.92156
2014,V4,19763625725
2015,V4,19983534510.79587
2016,V4,20211974929.654076
2017,V4,20453541827.031082
2018,V4,20706026980.938423
2019,V4,20970449922.195915
2020,V4,21246634843.95336
2021,V4,21528115934.71563
2022,V4,21824606164.935886
2023,V4,22138921072.145283
2024,V4,22465846743.323734
2025,V4,22807842116.28476
2026,V4,23150684237.615456
2027,V4,23520851075.184063
2028,V4,23907857530.364197
2029,V4,24309094756.616253
2030,V4,24727089219.087425
2031,V4,25164209240.466
2032,V4,25618691932.8737
2033,V4,26092475595.879566
2034,V4,26584475936.090355
2035,V4,27097207187.90724
2036,V4,27631979082.66089
2037,V4,28187717160.29668
2038,V4,28759830263.98647
2039,V4,29362646041.268337
2040,V4,29989894041.522038
2041,V4,30643292210.088528
2042,V4,31311438100.785084
2043,V4,32018900475.802048
2044,V4,32755443639.72788
2045,V4,33522320574.63655
2046,V4,34317695948.38529
2047,V4,35149228256.33235
2048,V4,36012909219.71571
2049,V4,36912890559.17311
2050,V4,37848952395.768654
2051,V4,38828689469.025215
2052,V4,39849700129.06159
2053,V4,40913710722.52362
2054,V4,42003589377.97386
2055,V4,43156283992.16513
2056,V4,44361736372.7221
2057,V4,45619120278.114456
2058,V4,46927824769.31849
2059,V4,48268608888.08633
2060,V4,49686729962.74871
2061,V4,51176274787.856514
2062,V4,52730263016.691505
2063,V4,54345398833.06769
2064,V4,56039011237.11289
2014,V5,19763625725
2015,V5,19976706055.419415
2016,V5,20193577417.746742
2017,V5,20412834213.37734
2018,V5,20627654805.50966
2019,V5,20856070774.462826
2020,V5,21088121404.52778
2021,V5,21323058106.647007
2022,V5,21562301640.734066
2023,V5,21806553235.606876
2024,V5,22046215700.16373
2025,V5,22299582971.89784
2026,V5,22556699458.104206
2027,V5,22817750093.173607
2028,V5,23085264837.448204
2029,V5,23357282979.296013
2030,V5,23633693623.631165
2031,V5,23901192483.51222
2032,V5,24187052332.430916
2033,V5,24469719450.30102
2034,V5,24766825097.62855
2035,V5,25062055848.102154
2036,V5,25361686422.7687
2037,V5,25667757435.206104
2038,V5,25986761055.35091
2039,V5,26307894785.014996
2040,V5,26635398118.159363
2041,V5,26968842318.52829
2042,V5,27309074948.829376
2043,V5,27657755899.996716
2044,V5,28013577163.72754
2045,V5,28375817149.80483
2046,V5,28745005690.737232
2047,V5,29121037089.940742
2048,V5,29503725626.207375
2049,V5,29893113142.220642
2050,V5,30290580557.07036
2051,V5,30691664303.99177
2052,V5,31090911860.809185
2053,V5,31510898255.790565
2054,V5,31936562010.471085
2055,V5,32371289107.547703
2056,V5,32811780574.75015
2057,V5,33250189894.652203
2058,V5,33708768497.388496
2059,V5,34178146954.567413
2060,V5,34656887034.85267
2061,V5,35144903404.781235
2062,V5,35630468422.14173
2063,V5,36125759403.33688
2064,V5,36625542812.41356
2014,V6,19763625725
2015,V6,19969675357.948784
2016,V6,20183783862.499794
2017,V6,20393158259.34346
2018,V6,20612351697.98997
2019,V6,20826186908.159863
2020,V6,21049291223.10464
2021,V6,21276200875.8322
2022,V6,21500266609.660812
2023,V6,21724648009.9988
2024,V6,21959400713.02293
2025,V6,22196834070.77679
2026,V6,22437169128.67071
2027,V6,22670843411.107723
2028,V6,22916382077.948647
2029,V6,23164984925.353065
2030,V6,23408825785.10383
2031,V6,23663157777.41692
2032,V6,23917866389.2187
2033,V6,24178100343.283905
2034,V6,24441168561.421524
2035,V6,24707213949.846928
2036,V6,24976755811.861546
2037,V6,25239172000.370495
2038,V6,25513847762.37758
2039,V6,25792799128.785076
2040,V6,26072477330.454155
2041,V6,26346492917.41305
2042,V6,26635018318.374184
2043,V6,26926233998.0629
2044,V6,27215522057.228813
2045,V6,27514731026.464436
2046,V6,27817470788.48972
2047,V6,28123587833.120922
2048,V6,28433314492.54951
2049,V6,28739327182.26904
2050,V6,29056229171.839878
2051,V6,29377133724.20467
2052,V6,29701607510.87069
2053,V6,30029752294.68322
2054,V6,30362057651.989933
2055,V6,30698306497.894245
2056,V6,31038529838.184883
2057,V6,31380894172.747833
2058,V6,31729474744.067646
2059,V6,32081131103.347313
2060,V6,32437902098.21814
2061,V6,32799077297.16262
2062,V6,33164561560.23463
2063,V6,33533074086.978138
2064,V6,33900966448.11075
2014,V7,19763625725
2015,V7,19978541829.447647
2016,V7,20203097617.927525
2017,V7,20434005130.851772
2018,V7,20667093930.18656
2019,V7,20913366861.697086
2020,V7,21170844835.309334
2021,V7,21437112522.010895
2022,V7,21712409524.28785
2023,V7,21996849776.92299
2024,V7,22290907020.1224
2025,V7,22594888561.163067
2026,V7,22908814927.726265
2027,V7,23233363723.682285
2028,V7,23551165599.00073
2029,V7,23883134073.920532
2030,V7,24227478942.920273
2031,V7,24595153801.666645
2032,V7,24974104285.30179
2033,V7,25364158977.00326
2034,V7,25770369852.46668
2035,V7,26187395166.754528
2036,V7,26619902503.06633
2037,V7,27067262476.637363
2038,V7,27523803015.21216
2039,V7,28001183730.04877
2040,V7,28493739403.467472
2041,V7,29003114195.643337
2042,V7,29515988023.647038
2043,V7,30057763474.881313
2044,V7,30618464139.47547
2045,V7,31197879194.10187
2046,V7,31796582292.636314
2047,V7,32415554175.238453
2048,V7,33055071529.920635
2049,V7,33715851670.222427
2050,V7,34398987483.3492
2051,V7,35105015345.75488
2052,V7,35815354341.2112
2053,V7,36567880560.32825
2054,V7,37347325823.44771
2055,V7,38153219844.259315
2056,V7,38965800176.08509
2057,V7,39827158906.42893
2058,V7,40717017534.28623
2059,V7,41639111275.77104
2060,V7,42593120719.79994
2061,V7,43577137504.68585
2062,V7,44597904865.66356
2063,V7,45654876266.58658
2064,V7,46728516028.677025
2014,V8,19763625725
2015,V8,19982769391.041416
2016,V8,20209047045.083763
2017,V8,20438554741.48536
2018,V8,20688401307.93198
2019,V8,20949400014.571728
2020,V8,21219969474.164032
2021,V8,21503783857.292717
2022,V8,21799083119.77791
2023,V8,22106755342.485706
2024,V8,22427507684.483265
2025,V8,22761340610.06165
2026,V8,23108575702.98102
2027,V8,23468719215.00744
2028,V8,23843097204.07819
2029,V8,24233581233.09048
2030,V8,24638431081.695
2031,V8,25060911410.558277
2032,V8,25500058854.3418
2033,V8,25956670980.174557
2034,V8,26427947194.56803
2035,V8,26921054893.478188
2036,V8,27434020360.05982
2037,V8,27964997125.32077
2038,V8,28518114997.098045
2039,V8,29094018438.650078
2040,V8,29681844138.877228
2041,V8,30303385048.03068
2042,V8,30948937609.07055
2043,V8,31620736378.16586
2044,V8,32307567688.483574
2045,V8,33032272576.230453
2046,V8,33779779905.553867
2047,V8,34563007732.95271
2048,V8,35378920281.8526
2049,V8,36227142405.9779
2050,V8,37107820866.93946
2051,V8,38025871867.63104
2052,V8,38981030145.07383
2053,V8,39974725123.62258
2054,V8,41008075382.70454
2055,V8,42084548091.90364
2056,V8,43187068155.61394
2057,V8,44349357746.94756
2058,V8,45560926642.11736
2059,V8,46807017397.3907
2060,V8,48121812496.617096
2061,V8,49493991898.866165
2062,V8,50924721545.191864
2063,V8,52410671785.62784
2064,V8,53965046199.162384
2014,V9,19763625725
2015,V9,19977977687.289474
2016,V9,20193472489.125633
2017,V9,20410029072.863182
2018,V9,20639566646.13775
2019,V9,20874256133.81972
2020,V9,21116052455.439972
2021,V9,21362861856.699966
2022,V9,21616281869.36589
2023,V9,21868638632.080914
2024,V9,22132792227.034515
2025,V9,22399697168.90544
2026,V9,22678455102.13214
2027,V9,22960690024.217674
2028,V9,23252783932.133553
2029,V9,23552171505.719685
2030,V9,23858783552.86483
2031,V9,24162367003.506794
2032,V9,24483638521.925945
2033,V9,24807230529.37995
2034,V9,25142840818.663727
2035,V9,25487927837.192497
2036,V9,25841481564.264305
2037,V9,26203758091.883232
2038,V9,26574725642.86686
2039,V9,26949554309.503483
2040,V9,27338628649.91041
2041,V9,27737102157.841022
2042,V9,28145985380.33531
2043,V9,28564594677.695065
2044,V9,28993765699.845776
2045,V9,29433348304.186462
2046,V9,29883713854.09703
2047,V9,30345494579.24316
2048,V9,30809858767.66948
2049,V9,31282284922.97816
2050,V9,31779280278.308357
2051,V9,32273415033.883873
2052,V9,32795495508.15436
2053,V9,33330489481.822403
2054,V9,33878901251.691063
2055,V9,34441172216.75634
2056,V9,35018065120.29263
2057,V9,35606148525.806984
2058,V9,36209781578.81147
2059,V9,36831923088.09329
2060,V9,37469949642.95543
2061,V9,38110039557.62207
2062,V9,38778580561.57668
2063,V9,39465693210.22181
2064,V9,40171654118.847466
2014,V10,19763625725
2015,V10,19980562505.491814
2016,V10,20204675166.710644
2017,V10,20432973866.869427
2018,V10,20667338089.112965
2019,V10,20916121712.65384
2020,V10,21172395193.54813
2021,V10,21425761203.47171
2022,V10,21700344767.321014
2023,V10,21976150963.955227
2024,V10,22269420972.265316
2025,V10,22571678759.8769
2026,V10,22884612546.415302
2027,V10,23199497104.05101
2028,V10,23533687597.553825
2029,V10,23878862506.27817
2030,V10,24225883803.064575
2031,V10,24593957108.102196
2032,V10,24965653207.186806
2033,V10,25355662367.55444
2034,V10,25746991785.232582
2035,V10,26163733644.894222
2036,V10,26594762062.847424
2037,V10,27040825997.08068
2038,V10,27500485416.282654
2039,V10,27976041596.203987
2040,V10,28467351425.91294
2041,V10,28973297938.068684
2042,V10,29496390434.77428
2043,V10,30024985124.98824
2044,V10,30576451988.126698
2045,V10,31153595940.519722
2046,V10,31740603263.84457
2047,V10,32346813954.219627
2048,V10,32981748831.89316
2049,V10,33638938938.115147
2050,V10,34314732056.47201
2051,V10,35016656274.60337
2052,V10,35741055980.26297
2053,V10,36489599133.26079
2054,V10,37264600403.743256
2055,V10,38065744798.46957
2056,V10,38893835418.74163
2057,V10,39749999796.68586
2058,V10,40634317264.49527
2059,V10,41547546878.432335
2060,V10,42495082823.1914
2061,V10,43466353324.962
2062,V10,44480868106.15568
2063,V10,45530548290.31707
2064,V10,46595166175.21313
2014,V11,19763625725
2015,V11,19979259846.986904
2016,V11,20208943795.411354
2017,V11,20448730475.53087
2018,V11,20688942665.49921
2019,V11,20950746203.543606
2020,V11,21217250745.541237
2021,V11,21502856131.641647
2022,V11,21796425038.14297
2023,V11,22105428875.64532
2024,V11,22429148189.405605
2025,V11,22765359703.92997
2026,V11,23116278877.563416
2027,V11,23479419425.601856
2028,V11,23859933409.41036
2029,V11,24252600499.01993
2030,V11,24661834338.373234
2031,V11,25090389889.995018
2032,V11,25536430185.58228
2033,V11,26000323086.357586
2034,V11,26482934816.557068
2035,V11,26971089700.77437
2036,V11,27491048360.79288
2037,V11,28033777042.959496
2038,V11,28597561673.4708
2039,V11,29184251278.618713
2040,V11,29792354125.41045
2041,V11,30426169876.4659
2042,V11,31073473379.75729
2043,V11,31752030941.440586
2044,V11,32466073729.758423
2045,V11,33205297271.277622
2046,V11,33978083695.946377
2047,V11,34781646390.14288
2048,V11,35613522165.55189
2049,V11,36483984027.46639
2050,V11,37390303388.717316
2051,V11,38333560342.97836
2052,V11,39315502452.568
2053,V11,40338003838.68171
2054,V11,41380801634.99126
2055,V11,42489765869.80298
2056,V11,43620805065.271255
2057,V11,44824185806.7232
2058,V11,46077936739.34802
2059,V11,47384734931.68819
2060,V11,48720233982.22317
2061,V11,50111920391.972084
2062,V11,51592259605.07659
2063,V11,53135339813.13445
2064,V11,54747082991.903725
2014,V12,19763625725
2015,V12,19977377636.761967
2016,V12,20193173152.812084
2017,V12,20410152975.516342
2018,V12,20633585497.95051
2019,V12,20865062226.489258
2020,V12,21101767258.17133
2021,V12,21343158225.355797
2022,V12,21589425579.235172
2023,V12,21839946307.873966
2024,V12,22091466526.659847
2025,V12,22348003864.331097
2026,V12,22614710516.463993
2027,V12,22873633192.180984
2028,V12,23143319221.136024
2029,V12,23419330833.161373
2030,V12,23704783897.178234
2031,V12,24000496308.5718
2032,V12,24301469609.31442
2033,V12,24599818791.74557
2034,V12,24912736242.692047
2035,V12,25214214158.928818
2036,V12,25542091700.954315
2037,V12,25874642442.12796
2038,V12,26215871722.080193
2039,V12,26564562901.523155
2040,V12,26920609903.807217
2041,V12,27284645671.683258
2042,V12,27656355470.721653
2043,V12,28034202579.867115
2044,V12,28421804151.796326
2045,V12,28814764800.624096
2046,V12,29210331680.30927
2047,V12,29618943211.17977
2048,V12,30040809750.546856
2049,V12,30471559169.799427
2050,V12,30898784259.25137
2051,V12,31348670570.393738
2052,V12,31808287478.122013
2053,V12,32276636753.866936
2054,V12,32754970323.987003
2055,V12,33245371667.43609
2056,V12,33729502897.280586
2057,V12,34241478290.68474
2058,V12,34760354697.36161
2059,V12,35295020345.14774
2060,V12,35840683209.08495
2061,V12,36399595667.03344
2062,V12,36968179941.324585
2063,V12,37550433746.6785
2064,V12,38147783944.73271
2014,V13,19763625725
2015,V13,19977155198.758427
2016,V13,20197838655.958504
2017,V13,20419328822.5982
2018,V13,20651192864.106598
2019,V13,20885929017.28457
2020,V13,21130209383.993164
2021,V13,21370779338.82979
2022,V13,21627235466.08035
2023,V13,21890715415.867325
2024,V13,22159698277.188465
2025,V13,22433282482.585293
2026,V13,22717407877.590866
2027,V13,22998258334.697678
2028,V13,23296883574.837406
2029,V13,23603007732.69204
2030,V13,23917122530.12683
2031,V13,24239058427.417145
2032,V13,24569760329.97276
2033,V13,24907339797.60179
2034,V13,25252692037.07714
2035,V13,25609517679.537346
2036,V13,25975541375.858593
2037,V13,26350958001.954933
2038,V13,26736131444.194386
2039,V13,27130478034.177937
2040,V13,27535494978.223663
2041,V13,27951010183.718296
2042,V13,28372119480.70982
2043,V13,28808570893.202187
2044,V13,29254097916.458775
2045,V13,29710837957.40339
2046,V13,30181550972.111427
2047,V13,30666656906.79735
2048,V13,31164592177.93476
2049,V13,31670999855.97138
2050,V13,32180447404.67913
2051,V13,32716246645.277832
2052,V13,33267540039.71256
2053,V13,33834380356.65225
2054,V13,34407895773.17009
2055,V13,35002328432.55246
2056,V13,35615858391.7744
2057,V13,36246123021.07362
2058,V13,36893408535.9125
2059,V13,37557520533.04831
2060,V13,38237616774.422516
2061,V13,38921395692.9287
2062,V13,39641847091.57981
2063,V13,40381844292.793945
2064,V13,41114442968.849304
2014,V14,19763625725
2015,V14,19979320127.30932
2016,V14,20199038512.662758
2017,V14,20426993277.417664
2018,V14,20660193955.988445
2019,V14,20901334273.81088
2020,V14,21149240940.17836
2021,V14,21403147978.570255
2022,V14,21665254987.421207
2023,V14,21934868580.716995
2024,V14,22211309387.739826
2025,V14,22495363354.866634
2026,V14,22788116649.278866
2027,V14,23084456377.895676
2028,V14,23392188673.798443
2029,V14,23707506171.33835
2030,V14,24034337308.068054
2031,V14,24359039112.899082
2032,V14,24698441851.489555
2033,V14,25053122128.437664
2034,V14,25416369932.39352
2035,V14,25789266457.167862
2036,V14,26167114283.473267
2037,V14,26562341354.648003
2038,V14,26968541759.673424
2039,V14,27386641558.855434
2040,V14,27816500444.633823
2041,V14,28258158566.183308
2042,V14,28698021469.33844
2043,V14,29152496840.85678
2044,V14,29632383908.471535
2045,V14,30125832750.915874
2046,V14,30632091425.29577
2047,V14,31151981911.532753
2048,V14,31688712499.956448
2049,V14,32240206575.95457
2050,V14,32808139471.97352
2051,V14,33392211862.79206
2052,V14,33993226303.348938
2053,V14,34611483162.39036
2054,V14,35229453493.48516
2055,V14,35875646739.61038
2056,V14,36540454096.866486
2057,V14,37233085611.79356
2058,V14,37945840818.67814
2059,V14,38667697120.919304
2060,V14,39422897317.17456
2061,V14,40199703301.33328
2062,V14,40996539230.94955
2063,V14,41820540023.96033
2064,V14,42669076975.0463
2014,V15,19763625725
2015,V15,19960932246.369476
2016,V15,20167997962.00649
2017,V15,20374039191.57293
2018,V15,20578525470.96542
2019,V15,20781748362.42448
2020,V15,20970319682.478046
2021,V15,21170482331.30311
2022,V15,21361373441.206898
2023,V15,21549296500.708515
2024,V15,21734248433.210392
2025,V15,21926404563.26565
2026,V15,22116372794.129963
2027,V15,22304952891.5652
2028,V15,22489197973.085186
2029,V15,22660603537.274105
2030,V15,22841617951.997547
2031,V15,23017870092.49413
2032,V15,23189192028.111164
2033,V15,23363656973.557713
2034,V15,23532038851.154915
2035,V15,23700903408.86143
2036,V15,23867222887.224876
2037,V15,24030141286.860138
2038,V15,24190418216.186317
2039,V15,24348091863.938892
2040,V15,24502697131.40472
2041,V15,24653971273.119457
2042,V15,24799997706.767056
2043,V15,24934740925.475983
2044,V15,25071848446.96703
2045,V15,25197713499.659927
2046,V15,25331396712.19047
2047,V15,25461656648.91312
2048,V15,25589079726.709732
2049,V15,25712737800.22233
2050,V15,25832669385.483673
2051,V15,25948748569.588535
2052,V15,26061154303.941967
2053,V15,26169515854.00019
2054,V15,26272984608.645634
2055,V15,26368184579.370712
2056,V15,26463405522.07488
2057,V15,26553748263.685814
2058,V15,26641612719.930458
2059,V15,26716035524.57012
2060,V15,26788800962.444695
2061,V15,26855306417.141155
2062,V15,26920165439.649063
2063,V15,26985731640.843052
2064,V15,27041087632.048004
2014,V16,19763625725
2015,V16,19982905861.836617
2016,V16,20212041482.637886
2017,V16,20451260561.412815
2018,V16,20700558288.198143
2019,V16,20961060796.56076
2020,V16,21231947356.30834
2021,V16,21515025087.184628
2022,V16,21809003387.612762
2023,V16,22115876910.96384
2024,V16,22435231252.685814
2025,V16,22755451942.62735
2026,V16,23100157356.625633
2027,V16,23459814322.16395
2028,V16,23831612615.41834
2029,V16,24218697823.159508
2030,V16,24613536362.145763
2031,V16,25032400288.533283
2032,V16,25466761225.960472
2033,V16,25915772909.689423
2034,V16,26386683645.30925
2035,V16,26876247711.24652
2036,V16,27378936969.42652
2037,V16,27894537909.385307
2038,V16,28440561925.61543
2039,V16,29010282525.9496
2040,V16,29602502639.869762
2041,V16,30217506213.080692
2042,V16,30856968731.055424
2043,V16,31517355750.179207
2044,V16,32205510936.245037
2045,V16,32921887626.59459
2046,V16,33667509749.553856
