years,sim_number,value
2039,V3,41171265621.28843
2040,V3,41269371321.271225
2041,V3,41363289487.39323
2042,V3,41467249257.61577
2043,V3,41570982309.808975
2044,V3,41696073346.599014
2045,V3,41831393292.336555
2046,V3,41766987278.5816
2047,V3,41925714256.14506
2048,V3,42073102419.1856
2049,V3,42010847050.60056
2050,V3,42151727392.32459
2051,V3,42299518972.64392
2052,V3,42439487779.512344
2053,V3,42576339005.813324
2054,V3,42709340213.86027
2055,V3,42823620280.35343
2056,V3,42944465997.7685
2057,V3,43051971874.9036
2058,V3,43087699657.93344
2059,V3,43179631430.45213
2060,V3,43273309205.51149
2061,V3,43359823693.944244
2062,V3,43438071458.44944
2063,V3,43507372124.38064
2064,V3,43559501758.69776
2014,V4,35960454585
2015,V4,36301823237.304054
2016,V4,36642633450.5105
2017,V4,36960035591.66882
2018,V4,37279338470.42857
2019,V4,37545407159.884476
2020,V4,37841580388.932
2021,V4,38091878930.285416
2022,V4,38366870667.444664
2023,V4,38628755362.79487
2024,V4,38877195931.49634
2025,V4,39120632795.23181
2026,V4,39219831024.23171
2027,V4,39144075144.76238
2028,V4,39140856991.77043
2029,V4,39352805672.66159
2030,V4,39557538508.69319
2031,V4,39689212041.72373
2032,V4,39884017516.84371
2033,V4,40073585519.05983
2034,V4,40259321831.9022
2035,V4,40441095450.56404
2036,V4,40601450715.25398
2037,V4,40739466366.21742
2038,V4,40856903943.91464
2039,V4,40954033457.23988
2040,V4,41042151125.30983
2041,V4,41119658294.27811
2042,V4,41191315669.83209
2043,V4,41237278789.217064
2044,V4,41289353210.84436
2045,V4,41149887063.878525
2046,V4,41178221932.92079
2047,V4,41205018008.652664
2048,V4,41063441054.90674
2049,V4,41071290313.83103
2050,V4,41067760273.18294
2051,V4,41049866631.33652
2052,V4,41021231882.10588
2053,V4,40980904947.504486
2054,V4,40924226277.06412
2055,V4,40858549695.27168
2056,V4,40778549090.467995
2057,V4,40684864631.8775
2058,V4,40564859715.08158
2059,V4,40373482362.31584
2060,V4,40104002229.65901
2061,V4,39910886335.56567
2062,V4,39754262093.10365
2063,V4,39568474186.93774
2064,V4,39378856970.142265
2014,V5,35960454585
2015,V5,36312479487.11601
2016,V5,36654252664.00344
2017,V5,36871253844.46244
2018,V5,37190948007.296616
2019,V5,37492918156.68467
2020,V5,37791087417.74125
2021,V5,38077482104.31163
2022,V5,38354238974.41949
2023,V5,38556745289.12941
2024,V5,38803332805.346176
2025,V5,39051886440.77904
2026,V5,39172869162.74712
2027,V5,39402180133.65169
2028,V5,39614970943.86132
2029,V5,39821532326.74628
2030,V5,40029028838.47612
2031,V5,40236181886.80825
2032,V5,40441021464.9432
2033,V5,40633277078.70341
2034,V5,40833202795.58396
2035,V5,41010785879.29998
2036,V5,41171077597.39538
2037,V5,41312721356.06662
2038,V5,41446028979.53243
2039,V5,41564549893.80644
2040,V5,41489094567.31731
2041,V5,41608031587.94896
2042,V5,41720969196.81025
2043,V5,41689000089.50624
2044,V5,41788818920.21117
2045,V5,41868091665.44452
2046,V5,41951261631.34267
2047,V5,42024937392.954124
2048,V5,42085756220.67748
2049,V5,42138103934.575264
2050,V5,42120339138.64429
2051,V5,42155273843.70286
2052,V5,42179255158.112175
2053,V5,42191658989.089325
2054,V5,42186005496.222176
2055,V5,42175724251.24424
2056,V5,42138641685.62041
2057,V5,42103653092.48845
2058,V5,42055676847.38116
2059,V5,41893217016.69426
2060,V5,41816711449.09287
2061,V5,41732673152.50761
2062,V5,41635059663.372055
2063,V5,41521490506.34363
2064,V5,41396664032.16272
2014,V6,35960454585
2015,V6,36318559230.844475
2016,V6,36518905946.16151
2017,V6,36863075969.67023
2018,V6,37208104441.80659
2019,V6,37548411107.97008
2020,V6,37637131694.54628
2021,V6,37963282656.53823
2022,V6,38295215462.86143
2023,V6,38627057829.2044
2024,V6,38958268413.328125
2025,V6,39200641973.53314
2026,V6,39535041725.21664
2027,V6,39865410543.15894
2028,V6,40191586570.64348
2029,V6,40537541501.662415
2030,V6,40885671505.81035
2031,V6,41244996483.95519
2032,V6,41615959005.94852
2033,V6,41999551699.93912
2034,V6,42394899149.839294
2035,V6,42808713016.12471
2036,V6,43240844747.71385
2037,V6,43673422232.59293
2038,V6,44108533945.77665
2039,V6,44566625559.17618
2040,V6,45040689708.08099
2041,V6,45530974008.97933
2042,V6,46034807449.76039
2043,V6,46558184886.714386
2044,V6,47023575576.59392
2045,V6,47582907555.333984
2046,V6,48159507856.20075
2047,V6,48749615014.67203
2048,V6,49357687264.216194
2049,V6,49981615109.14397
2050,V6,50627669228.431496
2051,V6,51289721120.58118
2052,V6,51974169261.68406
2053,V6,52673625968.77945
2054,V6,53395750185.774704
2055,V6,54115272162.31149
2056,V6,54861299861.34819
2057,V6,55455329097.30887
2058,V6,56232973333.78907
2059,V6,57023329950.669975
2060,V6,57825190439.36166
2061,V6,58637192634.87905
2062,V6,59462140998.77802
2063,V6,60294505540.75576
2064,V6,61140920115.86973
2014,V7,35960454585
2015,V7,36317424750.86989
2016,V7,36670321488.40001
2017,V7,37011937078.762695
2018,V7,37355756235.53001
2019,V7,37697037139.1154
2020,V7,37670136514.51911
2021,V7,37992241289.202545
2022,V7,38322950091.4343
2023,V7,38649327811.164375
2024,V7,38974014595.2
2025,V7,39297801734.81838
2026,V7,39610016660.3121
2027,V7,39931759962.71705
2028,V7,40253078478.43873
2029,V7,40398454218.59079
2030,V7,40723882414.22149
2031,V7,41052161120.17789
2032,V7,41382873333.9829
2033,V7,41709639244.19668
2034,V7,42051965968.198494
2035,V7,42402122483.04359
2036,V7,42761308147.734314
2037,V7,43130182085.775215
2038,V7,43510631933.388214
2039,V7,43903838807.10456
2040,V7,44022805016.45965
2041,V7,44438329807.6041
2042,V7,44768684397.80521
2043,V7,45190501081.90423
2044,V7,45646162321.503784
2045,V7,46106448190.56605
2046,V7,46604219194.72224
2047,V7,47130054950.19939
2048,V7,47685116172.86048
2049,V7,48268958771.34936
2050,V7,48720486385.0719
2051,V7,49367381493.103386
2052,V7,50018508979.811
2053,V7,50691441460.692535
2054,V7,51384029386.29497
2055,V7,52076825450.777534
2056,V7,52796696289.66342
2057,V7,53519722904.38165
2058,V7,54272562258.48318
2059,V7,55043908064.424866
2060,V7,55830257073.136856
2061,V7,56622298080.99026
2062,V7,57438301275.04191
2063,V7,58268675509.93468
2064,V7,59113600355.06511
2014,V8,35960454585
2015,V8,36309073382.72496
2016,V8,36654258387.7243
2017,V8,36992329728.45865
2018,V8,37146517841.84308
2019,V8,37467571173.946915
2020,V8,37779284380.42609
2021,V8,38084565348.33535
2022,V8,38379002183.57795
2023,V8,38667161561.73106
2024,V8,38939332291.075066
2025,V8,39211285626.88479
2026,V8,39478656645.686554
2027,V8,39598783450.39095
2028,V8,39853292611.62448
2029,V8,39770861692.93334
2030,V8,40016960582.24222
2031,V8,40259005900.039215
2032,V8,40495148853.634155
2033,V8,40714420580.91326
2034,V8,40915203433.20174
2035,V8,41076176650.43713
2036,V8,41165275229.69774
2037,V8,41292294058.45634
2038,V8,41395074406.81971
2039,V8,41472534117.456566
2040,V8,41480623329.69293
2041,V8,41329972472.47884
2042,V8,41306000631.78195
2043,V8,41290892470.13455
2044,V8,41250552039.126396
2045,V8,41191666724.82792
2046,V8,41127671640.26317
2047,V8,41043088092.3326
2048,V8,40948673333.01879
2049,V8,40835136715.9434
2050,V8,40710980786.950035
2051,V8,40573632907.40058
2052,V8,40421363419.34748
2053,V8,40253142170.53586
2054,V8,40065958905.5777
2055,V8,39856918933.95008
2056,V8,39642069581.95658
2057,V8,39407483149.605034
2058,V8,39156664535.55179
2059,V8,38874709094.97678
2060,V8,38597864892.68382
2061,V8,38305079259.75856
2062,V8,37997910403.01443
2063,V8,37657560095.58449
2064,V8,37309365478.480125
2014,V9,35960454585
2015,V9,36310666747.370125
2016,V9,36637978230.87843
2017,V9,36964307322.93662
2018,V9,37278530004.091774
2019,V9,37578744592.94133
2020,V9,37865729555.87979
2021,V9,38141186620.959564
2022,V9,38404599418.03994
2023,V9,38414311804.45642
2024,V9,38652735037.88379
2025,V9,38877004292.77186
2026,V9,39089648995.96882
2027,V9,39279764111.47137
2028,V9,39472425278.20543
2029,V9,39652721462.3095
2030,V9,39818434220.62117
2031,V9,39976081633.53964
2032,V9,40129253850.10482
2033,V9,40275640961.334435
2034,V9,40414815073.13755
2035,V9,40536685455.81707
2036,V9,40663676514.6548
2037,V9,40784148628.07313
2038,V9,40890951323.034904
2039,V9,40995619376.46626
2040,V9,40837307955.04146
2041,V9,40927113358.66914
2042,V9,41008722046.47316
2043,V9,41080671084.2251
2044,V9,41143388498.215195
2045,V9,41186765992.449005
2046,V9,41227625314.86901
2047,V9,41257381681.34461
2048,V9,41272694649.90945
2049,V9,41278234476.919655
2050,V9,41269885120.909966
2051,V9,41249112626.59385
2052,V9,41213990045.99454
2053,V9,41167040879.04829
2054,V9,41106618927.25931
2055,V9,40824918273.28839
2056,V9,40733999650.50316
2057,V9,40634684200.48926
2058,V9,40520692467.863556
2059,V9,40391087933.25091
2060,V9,40239121240.59041
2061,V9,40080287787.210075
2062,V9,39903854407.80269
2063,V9,39714835725.5822
2064,V9,39507578232.88671
2014,V10,35960454585
2015,V10,36307339991.7602
2016,V10,36540513967.56383
2017,V10,36855793887.5071
2018,V10,36920165201.94791
2019,V10,37059527482.73589
2020,V10,37325321182.94573
2021,V10,37374192303.62925
2022,V10,37469867683.07438
2023,V10,37687969119.71183
2024,V10,37522674085.02485
2025,V10,37711727464.78667
2026,V10,37474708287.8892
2027,V10,37634623021.93396
2028,V10,37768223922.285965
2029,V10,37898890070.22503
2030,V10,38021259708.02347
2031,V10,38132433559.73153
2032,V10,38231615188.61344
2033,V10,38320691019.64695
2034,V10,38399838532.12143
2035,V10,38468048054.804955
2036,V10,38529356537.626854
2037,V10,38568878952.72157
2038,V10,38627203362.62676
2039,V10,38677849377.289894
2040,V10,38724723881.182365
2041,V10,38761188936.07349
2042,V10,38571636311.15339
2043,V10,38582738296.24782
2044,V10,38586861657.613815
2045,V10,38580142701.55018
2046,V10,38540743077.348114
2047,V10,38508966646.8712
2048,V10,38463506317.77034
2049,V10,38342370397.66629
2050,V10,38238573688.9214
2051,V10,38152929962.6441
2052,V10,38041589898.83584
2053,V10,37928219376.40653
2054,V10,37748944483.44271
2055,V10,37602169683.15191
2056,V10,37444462326.68331
2057,V10,37272527835.2181
2058,V10,37085655236.314926
2059,V10,36764676068.99789
2060,V10,36547075800.680504
2061,V10,36173005676.498695
2062,V10,35908280800.234886
2063,V10,35654034339.5659
2064,V10,35389360824.651184
2014,V11,35960454585
2015,V11,36289125618.70884
2016,V11,36600786065.93679
2017,V11,36808362939.49577
2018,V11,37078333234.84745
2019,V11,37323827550.249886
2020,V11,37538047943.57265
2021,V11,37727994476.68744
2022,V11,37672119710.92917
2023,V11,37812488916.55712
2024,V11,37932015763.871895
2025,V11,38025730379.6526
2026,V11,38084019010.124825
2027,V11,38124255055.870316
2028,V11,38115382566.83254
2029,V11,38106427644.534485
2030,V11,38071978501.02466
2031,V11,38004008774.96995
2032,V11,37920326929.26722
2033,V11,37810900585.39046
2034,V11,37678737721.21735
2035,V11,37523524358.99361
2036,V11,37344361115.84521
2037,V11,37143941383.32445
2038,V11,36920258647.39158
2039,V11,36680149483.65671
2040,V11,36434050554.7949
2041,V11,36179308884.59508
2042,V11,35798878890.25308
2043,V11,35521432876.96663
2044,V11,35233980929.985756
2045,V11,34833329359.472984
2046,V11,34551415164.38409
2047,V11,34262071170.832035
2048,V11,33967505531.323574
2049,V11,33666236170.6908
2050,V11,33351805483.42094
2051,V11,33038396198.3189
2052,V11,32712458513.50162
2053,V11,32387543331.381405
2054,V11,32033945854.588276
2055,V11,31694309514.62002
2056,V11,31352292227.10365
2057,V11,31005043779.961292
2058,V11,30652035015.085205
2059,V11,30232817011.73083
2060,V11,29872588602.030624
2061,V11,29506072784.913685
2062,V11,29134176521.205566
2063,V11,28758991852.199318
2064,V11,28383741771.84602
2014,V12,35960454585
2015,V12,36307612680.30845
2016,V12,36642546335.03885
2017,V12,36964649247.8103
2018,V12,37272369431.84255
2019,V12,37566993642.17764
2020,V12,37838390145.31008
2021,V12,38104988809.9079
2022,V12,38350415373.72808
2023,V12,38590645881.78935
2024,V12,38784987107.45884
2025,V12,38995586065.30949
2026,V12,39196263734.70801
2027,V12,39387454094.123405
2028,V12,39566241104.94369
2029,V12,39655203167.11112
2030,V12,39817457613.12214
2031,V12,39631012006.77225
2032,V12,39772086881.659096
2033,V12,39918374629.092896
2034,V12,40049937203.69576
2035,V12,40186592022.56504
2036,V12,40330206432.72606
2037,V12,40473733383.28541
2038,V12,40646511227.613716
2039,V12,40834174024.86681
2040,V12,41035599794.04316
2041,V12,41255089950.23949
2042,V12,41484757434.442055
2043,V12,41714146371.38384
2044,V12,41924066231.178024
2045,V12,42152393461.92497
2046,V12,42379863202.36109
2047,V12,42564579667.80588
2048,V12,42788567304.28385
2049,V12,42925592771.732414
2050,V12,43148180317.80556
2051,V12,43367856593.777115
2052,V12,43583306165.19582
2053,V12,43795881588.95229
2054,V12,43987967102.3541
2055,V12,44192883945.46201
2056,V12,44361782320.44057
2057,V12,44554133615.1846
2058,V12,44699437025.63646
2059,V12,44885857805.70246
2060,V12,45048904348.49679
2061,V12,45203640944.40622
2062,V12,45365787571.52165
2063,V12,45517377211.40797
2064,V12,45626330934.33016
2014,V13,35960454585
2015,V13,36310245699.43738
2016,V13,36657645694.46139
2017,V13,36998353424.8638
2018,V13,37328458722.12007
2019,V13,37519359953.27658
2020,V13,37837931728.992836
2021,V13,38149840616.52813
2022,V13,38454252477.133766
2023,V13,38753113731.46703
2024,V13,39043789637.82515
2025,V13,39332868219.46409
2026,V13,39617534639.741554
2027,V13,39745145864.14935
2028,V13,40020463829.40125
2029,V13,40298246501.64213
2030,V13,40574956898.559074
2031,V13,40841569775.664024
2032,V13,41120493945.438866
2033,V13,41399583036.97713
2034,V13,41686728173.076225
2035,V13,41979091354.72456
2036,V13,42271428456.31287
2037,V13,42560453155.24853
2038,V13,42853529862.65801
2039,V13,42994077353.576706
2040,V13,43296826228.529625
2041,V13,43336738191.64216
2042,V13,43649107248.70732
2043,V13,43866726928.97236
2044,V13,44185040353.631775
2045,V13,44314551628.29971
2046,V13,44636306709.954636
2047,V13,44900670115.65852
2048,V13,45226698089.055756
2049,V13,45549370196.397545
2050,V13,45861978827.60293
2051,V13,46149024274.733345
2052,V13,46449016200.48402
2053,V13,46664338142.51182
2054,V13,46952737310.98839
2055,V13,47223339489.234604
2056,V13,47488248008.10335
2057,V13,47742609145.59741
2058,V13,47990318248.923386
2059,V13,48078494164.64701
2060,V13,48285949499.76957
2061,V13,48500763202.18091
2062,V13,48702191451.72071
2063,V13,48845863267.25571
2064,V13,49016597294.78795
2014,V14,35960454585
2015,V14,36303226703.575844
2016,V14,36617992422.78024
2017,V14,36917341853.487144
2018,V14,37187878914.41118
2019,V14,37439764551.661476
2020,V14,37677289019.12471
2021,V14,37889960719.38087
2022,V14,38082004025.84434
2023,V14,38245352611.114006
2024,V14,38376085957.43049
2025,V14,38504915738.49351
2026,V14,38614263128.007126
2027,V14,38702646031.06489
2028,V14,38754485804.01146
2029,V14,38800440380.00289
2030,V14,38742990636.85262
2031,V14,38752392039.185905
2032,V14,38742281854.99648
2033,V14,38714861721.97417
2034,V14,38669707374.47953
2035,V14,38608938543.793976
2036,V14,38537347208.76075
2037,V14,38216370010.41548
2038,V14,38155723982.111404
2039,V14,37898539631.888176
2040,V14,37644424223.2276
2041,V14,37466436756.85403
2042,V14,37316069728.3766
2043,V14,37272567958.146255
2044,V14,37230063714.42613
2045,V14,37186324009.66565
2046,V14,37126985514.274055
2047,V14,37045812373.680046
2048,V14,36953721453.771095
2049,V14,36859639433.12157
2050,V14,36749655766.31302
2051,V14,36628852198.28515
2052,V14,36493124638.29915
2053,V14,36340441478.06206
2054,V14,36177886093.343216
2055,V14,35998270751.454605
2056,V14,35750389307.54446
2057,V14,35538539472.201096
2058,V14,35321864430.733925
2059,V14,35082276033.66054
2060,V14,34771347007.450325
2061,V14,34367184827.13933
2062,V14,34099564805.035797
2063,V14,33811761776.11246
2064,V14,33514881040.275127
2014,V15,35960454585
2015,V15,36304765991.55247
2016,V15,36634981513.54739
2017,V15,36946458404.65125
2018,V15,37240773066.255394
2019,V15,37517914439.755615
2020,V15,37465074510.97791
2021,V15,37707438257.91371
2022,V15,37930778934.51
2023,V15,38129737151.27166
2024,V15,38306687855.9314
2025,V15,38476719958.601814
2026,V15,38627375467.77406
2027,V15,38760030539.86962
2028,V15,38876026324.46281
2029,V15,38974435387.15989
2030,V15,39048951187.02965
2031,V15,39112829368.74735
2032,V15,39160052485.25367
2033,V15,39180267925.4975
2034,V15,39173459684.96059
2035,V15,39170978853.35902
2036,V15,39153865603.970314
2037,V15,39122068889.15537
2038,V15,39060440827.87659
2039,V15,38890973085.72413
2040,V15,38729009127.34804
2041,V15,38655652581.922775
2042,V15,38567681551.65911
2043,V15,38461589429.417435
2044,V15,38342664990.52629
2045,V15,37883742620.198784
2046,V15,37531086290.253235
2047,V15,37367601864.952705
2048,V15,37170899886.84688
2049,V15,36972489073.91795
2050,V15,36670083339.269554
2051,V15,36446592129.34677
2052,V15,36206298793.32322
2053,V15,35949888022.49596
2054,V15,35526983140.35107
2055,V15,35074323149.15311
2056,V15,34773333091.22187
2057,V15,34457727984.68118
2058,V15,33945207650.82835
2059,V15,33602164116.970577
2060,V15,33145873349.695606
2061,V15,32765186777.76898
2062,V15,32339991798.1594
2063,V15,31936289853.267887
2064,V15,31519373874.94368
2014,V16,35960454585
2015,V16,35992424814.7996
2016,V16,36331615328.53866
2017,V16,36660725488.87252
2018,V16,36975976681.780685
2019,V16,37283018780.070786
2020,V16,37579817166.78754
2021,V16,37829376931.724884
2022,V16,38105259776.74386
2023,V16,38365609479.92975
2024,V16,38612295292.212616
2025,V16,38853816491.900055
2026,V16,39088755138.406006
2027,V16,39312901123.90627
2028,V16,39525835163.58858
2029,V16,39721008144.8546
2030,V16,39920653719.77767
2031,V16,40112385259.65756
2032,V16,40297205559.45573
2033,V16,40475041313.05694
2034,V16,40647863221.24762
2035,V16,40815651146.758965
2036,V16,40963305931.45312
2037,V16,41123382562.91218
2038,V16,41280820823.306145
2039,V16,41436666104.95644
2040,V16,41587853772.30271
2041,V16,41727051715.247505
2042,V16,41838591238.81546
2043,V16,41952247278.357834
2044,V16,42061292470.65804
2045,V16,42165049121.257286
2046,V16,42253600748.65792
