State,num_fires,acres_burned,Year
FL,100,9129,2010
GA,29,876,2010
ID,505,26013,2010
IL,60,823,2010
IN,53,107,2010
KS,6,280,2010
KY,87,4639,2010
LA,122,10422,2010
MI,229,708,2010
MN,106,472,2010
MO,138,7051,2010
MS,111,3559,2010
MT,395,8211,2010
NC,120,2613,2010
ND,5,107,2010
NE,11,494,2010
NH,2,0,2010
NM,368,26649,2010
NV,78,1322,2010
OH,115,633,2010
OR,969,27435,2010
PA,13,98,2010
SC,28,172,2010
SD,54,103,2010
TN,35,370,2010
TX,31,614,2010
UT,199,48445,2010
VA,37,2228,2010
VT,3,1,2010
WA,222,14449,2010
WI,17,36,2010
WV,17,7,2010
WY,141,13059,2010
CA,1049,41777,2011
CO,361,15345,2011
FL,170,6468,2011
GA,15,619,2011
ID,532,84723,2011
IL,18,27,2011
IN,8,27,2011
KS,3,17495,2011
KY,41,1187,2011
LA,153,2522,2011
MI,35,28,2011
MN,78,94025,2011
MO,118,18439,2011
MS,48,1837,2011
MT,482,64546,2011
NC,143,787,2011
ND,11,738,2011
NE,17,636,2011
NH,3,3,2011
NM,551,339600,2011
NV,84,6867,2011
OH,25,116,2011
OR,723,26186,2011
PA,1,57,2011
PR,0,0,2011
SC,58,2115,2011
SD,86,9603,2011
TN,15,373,2011
TX,179,3684,2011
UT,209,1968,2011
VA,29,5348,2011
VT,0,0,2011
WA,237,658,2011
WI,25,8,2011
WV,8,11,2011
WY,95,48974,2011
AK,9,3,2011
AL,64,5503,2011
AR,169,6447,2011
AZ,817,921189,2011
CA,1251,297212,2012
CO,436,98768,2012
FL,79,7050,2012
GA,22,1089,2012
ID,501,921347,2012
IL,24,67,2012
IN,27,77,2012
KS,1,0,2012
KY,61,2373,2012
LA,52,1843,2012
MI,264,1167,2012
MN,105,561,2012
MO,187,10532,2012
MS,7,132,2012
MT,596,229083,2012
NC,117,23419,2012
ND,27,1988,2012
NE,71,39872,2012
NH,7,21,2012
NM,372,342127,2012
NV,142,42497,2012
OH,23,290,2012
OR,652,151108,2012
PA,7,47,2012
SC,40,816,2012
SD,152,16647,2012
TN,19,1010,2012
TX,31,899,2012
UT,313,146473,2012
VA,42,39119,2012
VT,4,6,2012
WA,330,116929,2012
WI,10,11,2012
WV,5,63,2012
WY,127,58697,2012
AK,5,0,2012
AL,49,2954,2012
AR,204,4762,2012
AZ,736,119177,2012
CA,1535,350642,2013
CO,294,153148,2013
FL,70,3958,2013
GA,2,6,2013
ID,818,381956,2013
IL,14,29,2013
IN,6,6,2013
KS,3,6,2013
KY,44,1325,2013
LA,0,0,2013
MI,44,64,2013
MN,56,252,2013
MO,38,1076,2013
MS,0,0,2013
MT,592,97737,2013
NC,62,4959,2013
ND,8,11896,2013
NE,5,27,2013
NH,2,0,2013
NM,425,183345,2013
NV,121,46471,2013
OH,26,96,2013
OR,1200,29352,2013
PA,4,2,2013
PR,0,0,2013
SC,33,633,2013
SD,62,49,2013
TN,27,1410,2013
TX,30,345,2013
UT,264,24094,2013
VA,14,754,2013
VT,4,13,2013
WA,305,8046,2013
WI,15,17,2013
WV,4,1612,2013
WY,125,29852,2013
AK,9,1,2013
AL,34,2034,2013
AR,78,2156,2013
AZ,732,28275,2013
CA,1535,350642,2014
CO,294,153148,2014
FL,70,3958,2014
GA,2,6,2014
ID,818,381956,2014
IL,14,29,2014
IN,6,6,2014
KS,3,6,2014
KY,44,1325,2014
LA,0,0,2014
MI,44,64,2014
MN,56,252,2014
MO,38,1076,2014
MS,0,0,2014
MT,592,97737,2014
NC,62,4959,2014
ND,8,11896,2014
NE,5,27,2014
NH,2,0,2014
NM,425,183345,2014
NV,121,46471,2014
OH,26,96,2014
OR,1200,29352,2014
PA,4,2,2014
PR,0,0,2014
SC,33,633,2014
SD,62,49,2014
TN,27,1410,2014
TX,30,345,2014
UT,264,24094,2014
VA,14,754,2014
VT,4,13,2014
AK,9,1,2014
AL,34,2034,2014
AR,78,2156,2014
AZ,732,28275,2014
