years,sim_number,value
2014,mean,273658260
2015,mean,276408103.93494266
2016,mean,279019895.35704887
2017,mean,281485193.77783614
2018,mean,283809046.77859414
2019,mean,285982047.9415705
2020,mean,287997570.90777194
2021,mean,289854979.27114826
2022,mean,291537138.0312941
2023,mean,293040808.5552341
2024,mean,294364031.9412573
2025,mean,295487270.094943
2026,mean,296414902.9806967
2027,mean,297129794.1563592
2028,mean,297626798.56552875
2029,mean,297887928.25746053
2030,mean,297918853.19714457
2031,mean,297717093.2096322
2032,mean,297277746.9137602
2033,mean,296615193.574866
2034,mean,295731612.89928585
2035,mean,294638714.79589206
2036,mean,293351953.7193927
2037,mean,291865046.34933823
2038,mean,290190656.5539185
2039,mean,288340813.2190284
2040,mean,286342536.21434355
2041,mean,284196476.45436883
2042,mean,281909407.6388301
2043,mean,279509127.17976683
2044,mean,277002109.81313545
2045,mean,274407073.19189286
2046,mean,271730732.56615645
2047,mean,268995836.8153323
2048,mean,266211800.50093496
2049,mean,263392571.81257832
2050,mean,260552031.17842203
2051,mean,257702146.66353372
2052,mean,254844308.46921477
2053,mean,252008009.70150065
2054,mean,249189749.56233332
2055,mean,246409479.08506915
2056,mean,243683668.68006766
2057,mean,241015957.42089984
2058,mean,238417274.46524855
2059,mean,235895018.84708753
2060,mean,233455562.76653367
2061,mean,231125016.5463167
2062,mean,228906620.76624992
2063,mean,226802715.03413025
2064,mean,224833170.40690687
2014,q90,273658260
2015,q90,276696381.25859207
2016,q90,279798540.62994504
2017,q90,283027807.3752939
2018,q90,286447057.0372486
2019,q90,289975593.167498
2020,q90,293629742.1289276
2021,q90,297469572.1492029
2022,q90,301456052.7480701
2023,q90,305546175.81049556
2024,q90,309486172.1673668
2025,q90,313503556.2908884
2026,q90,317660127.21001303
2027,q90,321713395.8315301
2028,q90,325963039.2824221
2029,q90,330135055.71065193
2030,q90,334417611.08826816
2031,q90,338538155.9658861
2032,q90,342639864.2586168
2033,q90,346789634.87898254
2034,q90,350720955.5219631
2035,q90,355207602.1267077
2036,q90,358647267.5478988
2037,q90,362509546.5361711
2038,q90,366524588.38123375
2039,q90,370225548.34974104
2040,q90,374468896.8897316
2041,q90,377880048.7174941
2042,q90,380851242.8529707
2043,q90,384324844.19133776
2044,q90,387400546.03002465
2045,q90,390870951.205817
