years,sim_number,value
2046,q90,393638410.7932418
2047,q90,397407819.5317113
2048,q90,400177014.54313105
2049,q90,403475269.82994884
2050,q90,406228443.12361145
2051,q90,408888317.4746846
2052,q90,411634328.94821715
2053,q90,414205799.82374835
2054,q90,416804774.9357278
2055,q90,418686562.53183097
2056,q90,420361661.8319709
2057,q90,421828180.6659039
2058,q90,422905485.3618199
2059,q90,424088268.99100083
2060,q90,425212566.47209597
2061,q90,426260866.66576725
2062,q90,427896958.7134898
2063,q90,429328215.06465256
2064,q90,430090115.2772323
2014,q10,273658260
2015,q10,276111252.98651326
2016,q10,278235564.4797338
2017,q10,279978374.9527111
2018,q10,281249522.13654643
2019,q10,282083358.8868664
2020,q10,282526060.30340266
2021,q10,282560596.5975454
2022,q10,282066168.07833856
2023,q10,281221022.8142026
2024,q10,279872977.36756283
2025,q10,278206404.11606973
2026,q10,276141232.50414556
2027,q10,273614652.8316534
2028,q10,270752794.29758644
2029,q10,267399581.10840693
2030,q10,263556113.5381366
2031,q10,259399138.60903713
2032,q10,254969894.3587071
2033,q10,250237732.55928317
2034,q10,245026149.82057947
2035,q10,239605002.6352501
2036,q10,233853842.34939647
2037,q10,227852855.24348736
2038,q10,221748894.71097693
2039,q10,215508291.94433928
2040,q10,209104032.09784108
2041,q10,202594853.6454404
2042,q10,195905504.50339308
2043,q10,189185403.98136693
2044,q10,182514156.07401565
2045,q10,175695342.80874535
2046,q10,168912948.73094758
2047,q10,162180507.86129746
2048,q10,155291465.1063316
2049,q10,149031891.94082993
2050,q10,142165060.19077832
2051,q10,135368889.16449827
2052,q10,129080440.05799426
2053,q10,122675525.36700627
2054,q10,116967499.75978474
2055,q10,110852403.83801879
2056,q10,105126569.52915645
2057,q10,100096253.28981034
2058,q10,94732693.5960798
2059,q10,89670577.04392214
2060,q10,84638820.04350936
2061,q10,79951847.35020088
2062,q10,75489026.88133527
2063,q10,71223212.06289913
2064,q10,66911840.25660109
2014,q975,273658260
2015,q975,276845518.86202544
2016,q975,280259287.25455654
2017,q975,283944349.3028767
2018,q975,287904890.8286152
2019,q975,292148508.1373226
2020,q975,296648565.16078734
2021,q975,301460331.52709484
2022,q975,306504975.4800416
2023,q975,311866898.2872827
2024,q975,317592784.95562077
2025,q975,323573558.61199415
2026,q975,329775021.89256716
2027,q975,336362531.12647104
2028,q975,343191460.46461654
2029,q975,350408243.33592206
2030,q975,357501383.12622297
2031,q975,364841002.30847526
2032,q975,372695687.1448841
2033,q975,380205866.2251361
2034,q975,389119169.3438305
2035,q975,397669569.1019447
2036,q975,406637120.3617687
2037,q975,415602741.4157791
2038,q975,425187590.0791451
2039,q975,435421027.7407944
2040,q975,446318677.55386186
2041,q975,457136992.9828724
2042,q975,468759566.1064774
2043,q975,481504275.16599166
2044,q975,494436344.79915595
2045,q975,508010900.03412557
2046,q975,521876846.3043504
2047,q975,535531341.3572718
2048,q975,549750778.6435778
2049,q975,564023243.6512932
2050,q975,579599981.8211021
2051,q975,596588971.1903625
2052,q975,612777906.8044604
2053,q975,629642586.4843318
2054,q975,647773386.4097291
2055,q975,665454896.1511607
2056,q975,683932844.6678083
2057,q975,703242442.2494843
2058,q975,723571501.8855855
2059,q975,745933814.5339353
2060,q975,767152836.2943852
2061,q975,789612841.671597
2062,q975,812898772.6466324
2063,q975,836547044.2035577
2064,q975,860977770.8759892
2014,q025,273658260
2015,q025,275950401.59130234
2016,q025,277924804.17784554
2017,q025,279257906.6247292
2018,q025,280201893.43106616
2019,q025,280465347.9441596
2020,q025,280272626.50595045
2021,q025,279454151.00646824
2022,q025,278083563.88877124
2023,q025,276161436.7837174
2024,q025,273676098.5425262
2025,q025,270894171.85320854
2026,q025,267498282.6746822
2027,q025,263638734.049465
2028,q025,259328097.4018194
2029,q025,254566426.7416039
2030,q025,249182754.985471
2031,q025,243549276.7850444
2032,q025,237580821.7759539
2033,q025,231302019.4204667
2034,q025,224792489.64311737
2035,q025,217972560.41215864
2036,q025,211090102.48481107
2037,q025,203909456.9744457
2038,q025,196722236.40916193
2039,q025,189381330.30718315
2040,q025,182119331.46634263
2041,q025,174645675.40820414
2042,q025,167278468.1818316
2043,q025,160585358.4629258
2044,q025,154160669.74013537
2045,q025,147345969.87355787
2046,q025,141104413.88981134
2047,q025,134358910.42297408
2048,q025,127750867.40207711
2049,q025,121345474.42491269
2050,q025,115010879.63182865
2051,q025,108824094.1566777
2052,q025,102852496.21083917
2053,q025,96639986.7697778
2054,q025,91304915.20881787
2055,q025,85992212.24390393
2056,q025,80575232.032064
2057,q025,75508989.87068865
2058,q025,70703545.48225197
2059,q025,65953973.28937849
2060,q025,61413464.49691005
2061,q025,57489788.355887875
2062,q025,53631892.463357836
2063,q025,49793143.44914898
2064,q025,46143728.08753443
2014,V2,273658260
2015,V2,276324856.08610696
2016,V2,278966790.76521456
2017,V2,281712075.5670607
2018,V2,284370092.78234386
2019,V2,286827982.9008463
2020,V2,289301551.73480505
2021,V2,291679089.7898647
2022,V2,293786422.314839
2023,V2,295962454.07297635
2024,V2,297720320.2913536
2025,V2,299683934.2065695
2026,V2,301538924.7282373
2027,V2,303218953.1702815
2028,V2,304686462.43053913
2029,V2,305870659.93990415
2030,V2,306812773.2191551
2031,V2,307439361.9846679
2032,V2,307521954.62977535
2033,V2,307500919.226937
2034,V2,307156887.85486567
2035,V2,306548450.3284438
2036,V2,305517843.24322015
2037,V2,304242177.64112353
2038,V2,302608702.4917689
2039,V2,300553028.83911586
2040,V2,298378937.0486447
2041,V2,295926843.9498928
2042,V2,293243903.05774504
2043,V2,290236299.9024649
2044,V2,287017399.6355728
2045,V2,283489629.30374753
2046,V2,279701536.24693215
2047,V2,275750135.9846164
2048,V2,271563734.7470345
2049,V2,266960108.24496037
2050,V2,262089884.21370098
2051,V2,257294989.36335137
2052,V2,252035803.09661645
2053,V2,246928631.84351584
2054,V2,241565788.87258366
2055,V2,236130582.4200825
2056,V2,230643627.21544194
2057,V2,225001673.41298544
2058,V2,219146080.72956732
2059,V2,213378270.58490145
2060,V2,207458846.284106
2061,V2,201450629.58981246
2062,V2,195524939.75942963
2063,V2,189559637.2955511
2064,V2,183580230.8171404
2014,V3,273658260
2015,V3,276312832.82411945
2016,V3,279145164.4563588
2017,V3,281882472.01253223
2018,V3,284634789.6262032
2019,V3,287268307.5960888
2020,V3,289864563.5187427
2021,V3,292354181.35126156
2022,V3,294604877.62410194
2023,V3,296785766.7809705
2024,V3,299107599.00619775
2025,V3,301350844.14872473
2026,V3,303335179.7624528
2027,V3,305374675.920858
2028,V3,307368587.1304576
2029,V3,309276093.8341668
2030,V3,310917694.3562401
2031,V3,312356508.431676
2032,V3,313331471.3702161
2033,V3,314241508.7838856
2034,V3,314842804.5359445
2035,V3,314845962.35759825
2036,V3,314737143.279752
2037,V3,314556438.09447587
2038,V3,314084160.78528094
2039,V3,313330139.070288
2040,V3,312154255.95564175
2041,V3,310718170.7565229
2042,V3,309211122.8729309
2043,V3,307444961.2974512
2044,V3,304966784.3316015
2045,V3,302699333.35595894
2046,V3,300187928.56347287
2047,V3,297438711.5336909
2048,V3,294458392.8960111
2049,V3,291201183.12657845
2050,V3,287734803.36895406
2051,V3,284053553.7892606
2052,V3,280023741.98919535
2053,V3,276011546.8814572
2054,V3,271774863.43949383
2055,V3,267230641.0072798
2056,V3,262579171.71023157
2057,V3,257889853.46522757
2058,V3,252867056.99878734
2059,V3,247936709.0026519
2060,V3,242888864.0922747
2061,V3,237509105.23048362
2062,V3,231930732.9204878
2063,V3,226464942.30423838
2064,V3,221073740.9314256
2014,V4,273658260
2015,V4,276722406.8504255
2016,V4,279892455.8725713
2017,V4,282799447.4867008
2018,V4,286142539.5720202
2019,V4,289403649.3912247
2020,V4,292949204.51880217
2021,V4,296227332.411742
2022,V4,299411888.19678545
2023,V4,302267715.51088125
2024,V4,304785646.2300082
2025,V4,306958491.0944064
2026,V4,308885568.9639616
2027,V4,310369403.9769574
2028,V4,311625431.50237447
2029,V4,312634555.5552923
2030,V4,313301784.05439204
2031,V4,313570571.8550501
2032,V4,313251435.7452519
2033,V4,312907353.4362535
2034,V4,312210832.19861925
2035,V4,311242203.6243701
2036,V4,309806320.1670854
2037,V4,308184889.44819057
2038,V4,306243541.5513228
2039,V4,303988088.24294096
2040,V4,301414516.7285673
2041,V4,298537357.46338946
2042,V4,295324959.0882462
2043,V4,291850888.660798
2044,V4,287702598.06707174
2045,V4,283716029.6067087
2046,V4,279510185.3788351
2047,V4,275030763.4649195
2048,V4,270367522.66774434
2049,V4,265473433.80907756
2050,V4,260302382.52433115
2051,V4,254901913.69097826
2052,V4,249493465.79475716
2053,V4,243918117.6747123
2054,V4,238222880.78494596
2055,V4,232368525.6892935
2056,V4,226381378.4333492
2057,V4,220371907.2101175
2058,V4,214079570.22536173
2059,V4,207868127.17912933
2060,V4,201685589.01035976
2061,V4,195348112.935478
2062,V4,189115364.0434078
2063,V4,182669792.84539387
2064,V4,176458103.49727896
2014,V5,273658260
2015,V5,276478670.237423
2016,V5,278943321.9877028
2017,V5,281398890.964256
2018,V5,283664575.5602221
2019,V5,285735298.3991844
2020,V5,287566458.3239249
2021,V5,289211849.43626624
2022,V5,290624516.3675436
2023,V5,291872305.8352613
2024,V5,292906079.7521324
2025,V5,293723365.2666112
2026,V5,294125067.26676255
2027,V5,294286930.10627437
2028,V5,294384039.194787
2029,V5,294272118.72734606
2030,V5,293774638.39161146
2031,V5,292639802.70192486
2032,V5,291132198.2412382
2033,V5,289490275.6675006
2034,V5,287483533.3225068
2035,V5,284756616.4947476
2036,V5,282030814.2398421
2037,V5,278967095.0635533
2038,V5,275512761.0394433
2039,V5,271797806.08821666
2040,V5,267730602.15238154
2041,V5,263262206.6824834
2042,V5,258677530.76783013
2043,V5,253833735.67360485
2044,V5,248708850.1936644
2045,V5,243390226.26721185
2046,V5,237652826.0214121
2047,V5,231979277.46212843
2048,V5,226188868.54779634
2049,V5,220514767.8080981
2050,V5,215091530.02943367
2051,V5,209730912.96823177
2052,V5,204374845.7217145
2053,V5,199108203.0409621
2054,V5,193861679.9742088
2055,V5,188701749.4669579
2056,V5,183260742.0696441
2057,V5,178214870.23694482
2058,V5,173208316.6828723
2059,V5,168076821.77573875
2060,V5,163247279.16245526
2061,V5,158482706.39298266
2062,V5,153766675.2940789
2063,V5,149140016.33085406
2064,V5,144509768.4225263
2014,V6,273658260
2015,V6,276666613.14538574
2016,V6,279414922.99380744
2017,V6,282283337.77715737
2018,V6,285282445.7888674
2019,V6,288344609.72523385
2020,V6,291367649.20561445
2021,V6,294087268.368555
2022,V6,297161648.0784294
2023,V6,300066166.53091085
2024,V6,303189755.2336344
2025,V6,306146969.60902566
2026,V6,309056774.12353367
2027,V6,311907287.46446854
2028,V6,314978774.6675226
2029,V6,318155504.3157308
2030,V6,321246165.95393527
2031,V6,324182803.28970975
2032,V6,327327136.7298367
2033,V6,330543528.77075064
2034,V6,333770097.9531649
2035,V6,336976043.17988604
2036,V6,340221713.00970304
2037,V6,343221761.4087196
2038,V6,346038591.97391844
2039,V6,349304252.96516293
2040,V6,352516210.10058343
2041,V6,355350624.3784122
2042,V6,358412646.10575485
2043,V6,361698127.60430884
2044,V6,364725862.8012588
2045,V6,368005462.5482832
2046,V6,371306719.19897115
2047,V6,374208298.6227613
2048,V6,376995289.8652497
2049,V6,379759922.6023191
2050,V6,382677468.1574996
2051,V6,385494199.4361272
2052,V6,387616410.34117466
2053,V6,389786104.1680613
2054,V6,391770682.41640764
2055,V6,394036482.78604436
2056,V6,396295235.9875679
2057,V6,398146597.2253399
2058,V6,400157281.7405366
2059,V6,401901959.696048
2060,V6,403671375.01755685
2061,V6,405123733.15247333
2062,V6,406144281.6484718
2063,V6,407535106.1317425
2064,V6,408745121.40575624
2014,V7,273658260
2015,V7,276131580.61350626
2016,V7,278195564.80611145
2017,V7,280199851.0159374
2018,V7,281842160.2653418
2019,V7,282975184.1995826
2020,V7,283958054.854268
2021,V7,284431034.48255
2022,V7,284756797.9617513
2023,V7,284608238.8480714
2024,V7,284228902.53092563
2025,V7,283309533.32594675
2026,V7,282229843.6107947
2027,V7,280466841.9562005
2028,V7,278445199.57334626
2029,V7,276172336.94937253
2030,V7,273594467.6414431
2031,V7,270856779.5876223
2032,V7,267773033.51149702
2033,V7,264307743.1455106
2034,V7,260645399.59800646
2035,V7,256415760.62170893
2036,V7,252247814.63057527
2037,V7,247848403.12001178
2038,V7,243218617.87448588
2039,V7,238176494.807676
2040,V7,233110946.25328928
2041,V7,227886505.12866566
2042,V7,222464337.15352488
2043,V7,216930472.26972649
2044,V7,211061081.0105805
2045,V7,205287833.78537023
2046,V7,199410132.25900412
2047,V7,193345063.26641893
2048,V7,187496486.76591748
2049,V7,181721410.6512599
2050,V7,176110705.5502052
2051,V7,170477871.39407682
2052,V7,164955507.16971397
2053,V7,159678176.84740657
2054,V7,154399111.7047962
2055,V7,149296672.6707709
2056,V7,144311407.21799254
2057,V7,139439871.95059597
2058,V7,134627029.8425101
2059,V7,129872345.2147559
2060,V7,125357578.35694394
2061,V7,120823782.99164641
2062,V7,116482922.98876417
2063,V7,112181505.4067575
2064,V7,108133030.61344723
2014,V8,273658260
2015,V8,276052603.14782965
2016,V8,278346490.56693906
2017,V8,280232042.2551395
2018,V8,282270517.848487
2019,V8,283987973.5716038
2020,V8,285516509.9941781
2021,V8,286783197.37176156
2022,V8,287436166.38320804
2023,V8,288104471.213201
2024,V8,288565067.2843146
2025,V8,288533901.1239723
2026,V8,288408011.1467489
2027,V8,287756477.3770703
2028,V8,286878822.28139204
2029,V8,285980634.504557
2030,V8,284778615.1286375
2031,V8,282633210.1944455
2032,V8,280611639.2578138
2033,V8,278009656.69265074
2034,V8,275209337.5093976
2035,V8,272033383.64252883
2036,V8,268269539.8688299
2037,V8,264386355.9699345
2038,V8,260157438.63859662
2039,V8,255249047.160362
2040,V8,250264031.27200687
2041,V8,245098455.29544702
2042,V8,239752386.66418415
2043,V8,234026514.05398574
2044,V8,228091901.13723212
2045,V8,222112673.50317505
2046,V8,215734624.03863952
2047,V8,209446194.48470145
2048,V8,202785608.34606427
2049,V8,196279494.20444044
2050,V8,189691217.78070608
2051,V8,183048515.28967044
2052,V8,176344252.49328825
2053,V8,169440528.80121028
2054,V8,162761065.15365222
2055,V8,156079945.4424274
2056,V8,149355218.28972238
2057,V8,142918343.21255758
2058,V8,136541013.72849497
2059,V8,130486764.21108189
2060,V8,124596964.47032672
2061,V8,118717722.12849198
2062,V8,113167437.6274884
2063,V8,107809124.88304894
2064,V8,102616497.8056875
2014,V9,273658260
2015,V9,276301551.9557846
2016,V9,278320692.600538
2017,V9,279978514.8592607
2018,V9,281492148.4566597
2019,V9,282425806.7472357
2020,V9,283125269.19985145
2021,V9,283142270.99287105
2022,V9,283057271.73436755
2023,V9,282460374.50415915
2024,V9,281429788.87472516
2025,V9,280211422.25355786
2026,V9,278606362.0228088
2027,V9,276428669.0541017
2028,V9,273597119.51797915
2029,V9,270497858.0452063
2030,V9,267045920.8254306
2031,V9,262738053.09776488
2032,V9,258312140.86067256
2033,V9,253490938.5170826
2034,V9,248200525.76267403
2035,V9,242433057.6103399
2036,V9,236318985.92532617
2037,V9,230011513.9207647
2038,V9,223499819.76596123
2039,V9,216783939.07484016
2040,V9,210279737.02103028
2041,V9,203835172.4752459
2042,V9,197572839.52780157
2043,V9,191206475.00396115
2044,V9,184810987.58088434
2045,V9,178707991.75757828
2046,V9,172444366.09146205
2047,V9,166413545.39438948
2048,V9,160480817.2139001
2049,V9,154666076.21771103
2050,V9,148877244.87289384
2051,V9,143263898.19211662
2052,V9,137763934.01754797
2053,V9,132330618.14301635
2054,V9,127003225.35952169
2055,V9,121835260.01930772
2056,V9,116750739.99586697
2057,V9,111619018.96754783
2058,V9,106695894.16238967
2059,V9,101938683.27695633
2060,V9,97399887.24104734
2061,V9,92974874.74450976
2062,V9,88692605.64986296
2063,V9,84516540.88257177
2064,V9,80452784.12866057
2014,V10,273658260
2015,V10,276809525.0868839
2016,V10,280117703.4900427
2017,V10,283580898.3566441
2018,V10,287071291.7878725
2019,V10,290830232.6617919
2020,V10,294581060.71365756
2021,V10,298605100.5147513
2022,V10,302796462.1647383
2023,V10,307201620.6857787
2024,V10,311606683.1583288
2025,V10,316419428.1384456
2026,V10,321291641.0215766
2027,V10,326417343.965109
2028,V10,331540019.7275347
2029,V10,336458927.3323511
2030,V10,341378604.32005525
2031,V10,346474387.3512238
2032,V10,351559182.08775365
2033,V10,356578433.69325614
2034,V10,361591853.52984226
2035,V10,366546950.28365797
2036,V10,371313594.61588895
2037,V10,376288530.8539338
2038,V10,381233972.2768992
2039,V10,386146996.3679312
2040,V10,390937194.60111433
2041,V10,395737155.18622375
2042,V10,400533725.37424403
2043,V10,405286087.6301908
2044,V10,409857090.7731303
2045,V10,414461901.2497897
2046,V10,419021179.3193473
2047,V10,423475522.0332079
2048,V10,427895480.01144737
2049,V10,432031879.6867204
2050,V10,436385213.997076
2051,V10,440656922.4263444
2052,V10,444181780.4641593
2053,V10,448317047.4736311
2054,V10,452355662.4473914
2055,V10,455783325.7207569
2056,V10,459677213.26150775
2057,V10,463486909.70891106
2058,V10,467145974.5750592
2059,V10,470778838.10885304
2060,V10,474319659.0050051
2061,V10,477401503.3687287
2062,V10,480731203.0849679
2063,V10,483517599.61449945
2064,V10,486660033.5151818
2014,V11,273658260
2015,V11,276497296.49702007
2016,V11,279163565.47046
2017,V11,281722145.8835679
2018,V11,284181518.0978656
2019,V11,286331761.593703
2020,V11,288498063.29307806
2021,V11,289985972.58415496
2022,V11,291821714.65975314
2023,V11,293421495.93125004
2024,V11,294952979.6206655
2025,V11,296236790.24280304
2026,V11,297443505.5702772
2027,V11,298455953.16803604
2028,V11,298844276.85112756
2029,V11,299386250.0302363
2030,V11,299788742.9370618
2031,V11,299655024.0700103
2032,V11,299310569.43761885
2033,V11,298709420.77213794
2034,V11,297726912.0636029
2035,V11,296229118.24357617
2036,V11,294488876.28452015
2037,V11,292177722.6752332
2038,V11,289744544.25044304
2039,V11,287215190.23820376
2040,V11,284363011.05248964
2041,V11,281243552.9881129
2042,V11,277610406.734323
2043,V11,273943070.3901695
2044,V11,270017311.9160475
2045,V11,265840437.34563655
2046,V11,261435209.18134633
2047,V11,256743637.35941166
2048,V11,251579944.574101
2049,V11,246548415.9302423
2050,V11,241177664.80712345
2051,V11,235793251.01387623
2052,V11,230153548.77832723
2053,V11,224344714.50492725
2054,V11,218616635.49788737
2055,V11,212789915.86767346
2056,V11,206567309.61927882
2057,V11,200598946.49211583
2058,V11,194449515.33139518
2059,V11,188117066.04364148
2060,V11,182048802.28208894
2061,V11,175940115.42840156
2062,V11,169831377.07145652
2063,V11,163716183.95494273
2064,V11,157683792.79157224
2014,V12,273658260
2015,V12,276623415.7503167
2016,V12,279746439.2131192
2017,V12,282827908.11745477
2018,V12,286246673.1533068
2019,V12,290039258.58816993
2020,V12,293651413.26083887
2021,V12,297778884.75010717
2022,V12,302115802.03946406
2023,V12,306226758.2174212
2024,V12,310897472.5064651
2025,V12,315834238.32221687
2026,V12,320934923.11033285
2027,V12,325951433.71966606
2028,V12,331545376.448426
2029,V12,337281614.948683
2030,V12,343278980.6898563
2031,V12,349293981.41328144
2032,V12,355858291.7544709
2033,V12,362756737.1813845
2034,V12,369902263.0365658
2035,V12,377354781.54950535
2036,V12,385166112.9855688
2037,V12,393254990.1090187
2038,V12,401499235.2521679
2039,V12,409776333.7196352
2040,V12,418374352.8297352
2041,V12,426696297.9189381
2042,V12,435441165.9748787
2043,V12,444781908.70355767
2044,V12,454238650.91665316
2045,V12,464050789.73553663
2046,V12,474036815.21889585
2047,V12,484255193.1983744
2048,V12,494757082.5721342
2049,V12,504913341.8093087
2050,V12,515647888.6910034
2051,V12,526767460.6998843
2052,V12,538276229.5157155
2053,V12,549904853.7552493
2054,V12,562144876.9461975
2055,V12,574366862.0157852
2056,V12,587247995.4759475
2057,V12,600351480.8529903
2058,V12,613073625.8576765
2059,V12,626406238.3205097
2060,V12,640198229.0135115
2061,V12,654708313.9498008
2062,V12,669624084.0248533
2063,V12,684993233.8518338
2064,V12,699603985.823555
2014,V13,273658260
2015,V13,276594249.5647356
2016,V13,279553494.7514152
2017,V13,282212784.00889647
2018,V13,285124173.3781022
2019,V13,287708559.6077748
2020,V13,290628750.2397773
2021,V13,293495000.2830722
2022,V13,296211471.2282791
2023,V13,299054430.9862663
2024,V13,301816063.1558075
2025,V13,304230486.4503335
2026,V13,306858071.093111
2027,V13,308945970.30262876
2028,V13,311394022.4351941
2029,V13,313403140.9638463
2030,V13,315198032.94811743
2031,V13,316928929.1788463
2032,V13,318033496.2164572
2033,V13,319076900.2677821
2034,V13,319859906.07764786
2035,V13,320579021.1892847
2036,V13,320821649.4908502
2037,V13,321022676.43532544
2038,V13,320740164.09745723
2039,V13,320352702.1017089
2040,V13,319720558.1693147
2041,V13,318258062.43772733
2042,V13,316806515.2850474
2043,V13,315463808.26410866
2044,V13,313627820.4574206
2045,V13,311726580.5855481
2046,V13,309499097.1587693
2047,V13,307032154.845305
2048,V13,304473112.4601659
2049,V13,301701459.70193756
2050,V13,298511105.0707792
2051,V13,295230630.64996266
2052,V13,291773126.9446152
2053,V13,287758316.2528856
2054,V13,283909048.8728242
2055,V13,279667463.9553881
2056,V13,275534320.85224444
2057,V13,271238854.74998224
2058,V13,266689426.08429706
2059,V13,262099379.68049216
2060,V13,257273669.08546707
2061,V13,252374667.92725176
2062,V13,247417112.55120066
2063,V13,242356333.46929201
2064,V13,237202565.0239794
2014,V14,273658260
2015,V14,276381689.99075216
2016,V14,279188688.6763429
2017,V14,281901566.64751226
2018,V14,284340320.7117992
2019,V14,286849071.5099922
2020,V14,289226611.13025564
2021,V14,291456412.20597
2022,V14,293568069.68017226
2023,V14,295586238.0181821
2024,V14,297510797.12020963
2025,V14,299259115.27555
2026,V14,300732324.7219233
2027,V14,302310346.23622024
2028,V14,303724538.0647043
2029,V14,304825467.07634705
2030,V14,305989512.1174192
2031,V14,306913907.1624557
2032,V14,307838451.9812281
2033,V14,308628186.0266232
2034,V14,308872326.5563276
2035,V14,309149037.98732346
2036,V14,309527589.24515605
2037,V14,309768253.1717444
2038,V14,309727656.3215661
2039,V14,309408037.55960304
2040,V14,308906960.3563323
2041,V14,307673454.0231975
2042,V14,306504993.4132063
2043,V14,305081603.86241555
2044,V14,303606827.9315791
2045,V14,301895189.99961776
2046,V14,299752867.2632351
2047,V14,297139454.42292696
2048,V14,294747896.452842
2049,V14,292138715.4710184
2050,V14,289317856.7325776
2051,V14,286291727.9808837
2052,V14,283023201.8032295
2053,V14,279586165.60235333
2054,V14,275804034.99372065
2055,V14,271893687.50369406
2056,V14,267868308.7296256
2057,V14,263756093.54188463
2058,V14,259462067.4447767
2059,V14,255080099.80627996
2060,V14,250379145.22200727
2061,V14,245748145.7334293
2062,V14,241005307.49700338
2063,V14,236160130.71743533
2064,V14,231194688.9443679
2014,V15,273658260
2015,V15,276632033.5581802
2016,V15,279423707.14211124
2017,V15,282080843.786364
2018,V15,284984353.1198746
2019,V15,287734384.27029884
2020,V15,290256088.422437
2021,V15,292991357.8509768
2022,V15,295783106.9549873
2023,V15,298171525.74537295
2024,V15,300898620.91887355
2025,V15,303335139.9693103
2026,V15,305765042.4804135
2027,V15,308386213.8544767
2028,V15,310758834.5044499
2029,V15,313303989.2955816
2030,V15,315758298.13182855
2031,V15,317752228.07205844
2032,V15,319699506.9634551
2033,V15,321514481.05678105
2034,V15,323059599.8112758
2035,V15,324435232.86485183
2036,V15,325424472.7937442
2037,V15,326273298.18226105
2038,V15,326928411.343577
2039,V15,327356735.81764144
2040,V15,327580204.6279425
2041,V15,327083230.55593705
2042,V15,326838719.00524163
2043,V15,326087735.4717331
2044,V15,325287877.40435946
2045,V15,324343221.7123143
2046,V15,323135580.83218014
2047,V15,321738651.0166046
2048,V15,319924078.87773955
2049,V15,318074335.5645988
2050,V15,316016922.01211375
2051,V15,313746833.19107515
2052,V15,311268691.43343383
2053,V15,308559183.1753286
2054,V15,305674041.23513734
2055,V15,302598350.8283342
2056,V15,299319355.75914866
2057,V15,295884955.43604547
2058,V15,292278374.55976164
2059,V15,288426328.4711009
2060,V15,284495922.75103086
2061,V15,280187092.19562477
2062,V15,275432999.7839267
2063,V15,270778752.80452305
2064,V15,266296513.23972648
2014,V16,273658260
2015,V16,276585839.44268477
2016,V16,279254976.22933424
2017,V16,281683714.2074029
2018,V16,284361413.6152134
2019,V16,286906676.4083578
2020,V16,289459570.6032365
2021,V16,291930978.2243314
2022,V16,294145113.463149
2023,V16,296379894.46514857
2024,V16,298282809.6813383
2025,V16,299730367.1788244
2026,V16,300865231.9518396
2027,V16,301636686.82238317
2028,V16,302012708.01698273
2029,V16,301820883.2721982
2030,V16,301371908.19620514
2031,V16,300584340.19478035
2032,V16,299390504.7350853
2033,V16,297301504.90335494
2034,V16,294841570.53923225
2035,V16,292249198.029469
2036,V16,289605823.15375334
2037,V16,286625615.12888646
2038,V16,282947997.3392255
2039,V16,279113095.7138124
2040,V16,275164490.2977151
2041,V16,270810365.53147304
2042,V16,266282982.08054486
2043,V16,261307528.12348416
2044,V16,255940313.4778017
2045,V16,250641209.81032804
2046,V16,244938974.00191903
2047,V16,239450622.33145154
2048,V16,233965248.1772691
2049,V16,228390203.94911915
2050,V16,222999534.76273778
2051,V16,217647207.78357768
