years,sim_number,value
2014,mean,15923170600
2015,mean,16032780497.821207
2016,mean,16122752127.236906
2017,mean,16193375266.934328
2018,mean,16245631128.230843
2019,mean,16283516623.760403
2020,mean,16303208489.357773
2021,mean,16303508522.273514
2022,mean,16285927644.317686
2023,mean,16246608615.365566
2024,mean,16193066945.617298
2025,mean,16124924519.322708
2026,mean,16036023008.781359
2027,mean,15929636480.567766
2028,mean,15805860339.221457
2029,mean,15665379029.091377
2030,mean,15509418981.893805
2031,mean,15338212810.502085
2032,mean,15153881172.43642
2033,mean,14954224503.126814
2034,mean,14742787852.56789
2035,mean,14518213879.2838
2036,mean,14281411107.89164
2037,mean,14038710258.48898
2038,mean,13785098876.66003
2039,mean,13529147773.561289
2040,mean,13269905856.472155
2041,mean,13008581731.497568
2042,mean,12750596812.486639
2043,mean,12492504480.062244
2044,mean,12236946101.815117
2045,mean,11980508284.660656
2046,mean,11729655308.783243
2047,mean,11483562385.70282
2048,mean,11240037854.613642
2049,mean,10997066795.4937
2050,mean,10760054359.408407
2051,mean,10527893679.589848
2052,mean,10298726812.691511
2053,mean,10071005675.117083
2054,mean,9848639019.31703
2055,mean,9629436864.202787
2056,mean,9410081545.119923
2057,mean,9196166027.440279
2058,mean,8987247246.84402
2059,mean,8782663683.18579
2060,mean,8580506943.229128
2061,mean,8380345919.905674
2062,mean,8185214618.968213
2063,mean,7993155598.966593
2064,mean,7805182354.298867
2014,q90,15923170600
2015,q90,16059204361.626274
2016,q90,16180817193.178255
2017,q90,16286435527.22691
2018,q90,16374642054.26197
2019,q90,16446513105.82424
2020,q90,16498991782.096088
2021,q90,16534085355.97995
2022,q90,16551449208.259024
2023,q90,16539021826.214073
2024,q90,16516337063.51418
2025,q90,16482902684.76965
2026,q90,16427256961.16016
2027,q90,16358473850.487297
2028,q90,16275027942.618736
2029,q90,16176460778.775198
2030,q90,16061135560.748539
2031,q90,15938999406.504734
2032,q90,15812344796.006756
2033,q90,15648690187.295538
2034,q90,15479806570.280762
2035,q90,15302998726.108143
2036,q90,15089547158.567678
2037,q90,14887868415.331345
2038,q90,14672129681.191341
2039,q90,14453698234.871506
2040,q90,14207268721.012077
2041,q90,13960266081.603172
2042,q90,13711978240.666061
2043,q90,13462296225.07562
2044,q90,13201541647.08551
2045,q90,12930573668.48207
2046,q90,12670950976.635893
2047,q90,12432309341.430162
2048,q90,12184203244.86958
2049,q90,11939827306.919798
2050,q90,11696292383.48941
2051,q90,11461739870.993052
2052,q90,11227841306.396284
2053,q90,10996024614.742609
2054,q90,10774588630.430244
2055,q90,10563599729.074186
2056,q90,10335839526.88661
2057,q90,10121451411.077677
2058,q90,9916915431.449
2059,q90,9711884349.792915
2060,q90,9503032990.81573
2061,q90,9295350015.032093
2062,q90,9096586579.695595
2063,q90,8905288538.429876
2064,q90,8711751534.470968
2014,q10,15923170600
2015,q10,15957832477.440315
2016,q10,15957548910.77371
2017,q10,15985067651.748945
2018,q10,16016138352.993814
2019,q10,16037758521.22769
2020,q10,16038104255.42643
2021,q10,16011153872.07555
2022,q10,15977843303.321009
2023,q10,15906899692.03037
2024,q10,15833575955.844805
2025,q10,15747971478.75642
2026,q10,15630297424.925283
2027,q10,15480530037.796719
2028,q10,15335093396.96469
2029,q10,15164640643.219753
2030,q10,14990384052.863785
2031,q10,14770254740.029863
2032,q10,14544865688.80084
2033,q10,14304331982.076176
2034,q10,14036965757.375008
2035,q10,13759058570.9417
2036,q10,13498063743.483791
2037,q10,13235810313.238497
2038,q10,12957877183.285778
2039,q10,12694414585.290916
2040,q10,12422615617.747837
2041,q10,12157653342.142899
2042,q10,11884583350.671093
2043,q10,11639425095.162668
2044,q10,11385163485.890997
2045,q10,11147213502.29964
2046,q10,10873780948.590807
2047,q10,10634335979.981697
2048,q10,10385670448.808008
2049,q10,10134370643.681116
2050,q10,9913104181.37478
2051,q10,9681509978.928171
2052,q10,9463878732.469479
2053,q10,9233461851.780993
2054,q10,9017686153.126078
2055,q10,8800317458.193449
2056,q10,8591776682.75076
2057,q10,8376115890.495594
2058,q10,8140797419.90341
2059,q10,7920740918.739195
2060,q10,7732916792.584392
2061,q10,7533122319.995164
2062,q10,7337969095.575832
2063,q10,7158186611.095529
2064,q10,6958264005.713168
2014,q975,15923170600
2015,q975,16060452871.443031
2016,q975,16184958461.5555
2017,q975,16294604622.490814
2018,q975,16391572739.566788
2019,q975,16472159688.056702
2020,q975,16537132442.164295
2021,q975,16583182545.175406
2022,q975,16615363691.763546
2023,q975,16625376243.844948
2024,q975,16620299605.739176
2025,q975,16599760043.438755
2026,q975,16559967268.603336
2027,q975,16512000313.844734
2028,q975,16441740601.316149
2029,q975,16369167349.505318
2030,q975,16274997265.065788
2031,q975,16173016102.097477
2032,q975,16039040138.690184
2033,q975,15913946316.840933
2034,q975,15769036775.456205
2035,q975,15612583678.047272
2036,q975,15440365688.387589
2037,q975,15230250519.635609
2038,q975,15026156945.425617
2039,q975,14800861859.789623
2040,q975,14591192905.539215
2041,q975,14367575849.408613
2042,q975,14137037595.517376
2043,q975,13889840472.59635
2044,q975,13652749493.557247
2045,q975,13403768704.54238
2046,q975,13173745541.319471
2047,q975,12934429486.268864
2048,q975,12710307335.904024
2049,q975,12468379094.476814
2050,q975,12236550918.97922
2051,q975,11984816362.110931
2052,q975,11760357131.40891
2053,q975,11522880397.186499
2054,q975,11294447687.667795
2055,q975,11060266125.929407
2056,q975,10857272814.150623
2057,q975,10666875477.27901
2058,q975,10478265559.214542
2059,q975,10274210838.620438
2060,q975,10081059173.10553
2061,q975,9834808167.234905
2062,q975,9639954538.550518
2063,q975,9454337367.139185
2064,q975,9270379347.79306
2014,q025,15923170600
2015,q025,15787138723.693302
2016,q025,15822686630.452927
2017,q025,15864930527.678469
2018,q025,15864216626.94636
2019,q025,15865293741.999979
2020,q025,15860529563.069744
2021,q025,15838567000.809025
2022,q025,15777858861.645676
2023,q025,15715731278.413986
2024,q025,15634509274.381191
2025,q025,15557950319.477787
2026,q025,15432568316.014812
2027,q025,15257225365.530853
2028,q025,15086894750.316475
2029,q025,14884468893.585358
2030,q025,14703521315.725805
2031,q025,14482372904.227142
2032,q025,14244324284.108002
2033,q025,13989293772.215126
2034,q025,13710106400.354088
2035,q025,13430522957.068346
2036,q025,13171638011.908316
2037,q025,12896038511.710236
2038,q025,12609198781.81813
2039,q025,12353396420.31173
2040,q025,12088085456.931828
2041,q025,11835241444.774109
2042,q025,11590106917.164835
2043,q025,11332095419.858313
2044,q025,11047947251.638826
2045,q025,10789824444.717213
2046,q025,10544491799.117027
2047,q025,10274695748.34705
2048,q025,9984364490.063442
2049,q025,9750020189.28157
2050,q025,9518399543.129627
2051,q025,9274078643.91637
2052,q025,9057484864.835552
2053,q025,8835474365.521906
2054,q025,8613968078.544384
2055,q025,8401811135.104057
2056,q025,8179942016.59071
2057,q025,7962890836.767908
2058,q025,7742802703.77989
2059,q025,7527524451.569799
2060,q025,7330836323.533663
2061,q025,7125907217.517626
2062,q025,6932404327.51104
2063,q025,6740963578.840189
2064,q025,6559800416.331753
2014,V2,15923170600
2015,V2,16049745065.599377
2016,V2,16153377418.964497
2017,V2,16232807003.934658
2018,V2,16288489980.439428
2019,V2,16319717604.641977
2020,V2,16326328748.03931
2021,V2,15999912584.583597
2022,V2,15957976281.280443
2023,V2,15891731622.95949
2024,V2,15801967688.361126
2025,V2,15688699334.40743
2026,V2,15552630334.007631
2027,V2,15394217028.317354
2028,V2,15214126406.136765
2029,V2,14861121194.828913
2030,V2,14596784267.457079
2031,V2,14359767023.479336
2032,V2,14104874916.64275
2033,V2,13832791152.618896
2034,V2,13550536490.506945
2035,V2,13269845395.472494
2036,V2,12991428131.37307
2037,V2,12592656950.492523
2038,V2,12321188905.294163
2039,V2,12052002149.767426
2040,V2,11748331134.591719
2041,V2,11356788312.723446
2042,V2,11098760873.286303
2043,V2,10843444127.691599
2044,V2,10579930450.303808
2045,V2,10120250680.175299
2046,V2,9878746719.412516
2047,V2,9640158583.350225
2048,V2,9404520066.113922
2049,V2,9171962565.271626
2050,V2,8942419396.659588
2051,V2,8716108116.45678
2052,V2,8493034378.950223
2053,V2,8273205176.805154
2054,V2,8036015022.887874
2055,V2,7823381808.612594
2056,V2,7614140185.508186
2057,V2,7408296923.19685
2058,V2,7205886530.567825
2059,V2,7006929511.50369
2060,V2,6811438968.829376
2061,V2,6619446345.922812
2062,V2,6430951852.816921
2063,V2,6245947127.299828
2064,V2,6064482446.72252
2014,V3,15923170600
2015,V3,16058678053.216976
2016,V3,16179713971.027292
2017,V3,16285925704.996857
2018,V3,16376991882.29586
2019,V3,16452635903.40582
2020,V3,16512607379.577894
2021,V3,16556490063.56571
2022,V3,16584590368.703382
2023,V3,16596565523.320723
2024,V3,16592473248.139536
2025,V3,16572266620.788599
2026,V3,16535950834.935104
2027,V3,16483640488.639482
2028,V3,16415457124.952621
2029,V3,16331590909.330696
2030,V3,16232243243.25564
2031,V3,16063268340.103945
2032,V3,15934310431.940166
2033,V3,15790899441.045769
2034,V3,15633417941.770792
2035,V3,15462298963.446255
2036,V3,15278011437.28405
2037,V3,14839938915.798336
2038,V3,14352907902.641882
2039,V3,13923633853.625505
2040,V3,13703505839.046022
2041,V3,13473527343.35955
2042,V3,13234287634.63928
2043,V3,12986427856.020683
2044,V3,12732909005.69604
2045,V3,12482176457.509693
2046,V3,12234236259.160395
2047,V3,11989410772.253242
2048,V3,11747222324.751244
2049,V3,11508130363.16948
2050,V3,11272235071.304693
2051,V3,11038828742.193584
2052,V3,10808862869.235935
2053,V3,10581691021.301937
2054,V3,10264875394.65364
2055,V3,10046113093.352142
2056,V3,9830146084.574379
2057,V3,9506678937.301983
2058,V3,9299434379.677546
2059,V3,8882142219.124098
2060,V3,8685621915.409927
2061,V3,8492026076.273641
