STATE_ABBR,EVAL_GRP_YEAR,UNITCD,UNIT,SELECT_WHITE_OAK_GROWTH,SELECT_WHITE_OAK_MORTALITY,SELECT_WHITE_OAK_REMOVAL
TN,1989,4,4704,17775211,1396281,6316733
TN,1989,5,4705,10546031,605614,1534275
TN,1999,1,4701,9399431,1690455,7870409
TN,1999,2,4702,33289470,2052296,25563645
TN,1999,3,4703,10337159,937069,4722089
TN,1999,4,4704,22185023,1906267,9205594
TN,1999,5,4705,11175111,730068,4153259
TN,2002,1,4701,8878332,5035191,14702845
TN,2002,2,4702,19547166,9104675,7957857
TN,2002,3,4703,14643237,3511692,5960392
TN,2002,4,4704,26002353,5063842,11938081
TN,2002,5,4705,13535075,4032476,25984726
TN,2003,1,4701,9506782,4011265,12495290
TN,2003,2,4702,22227049,7368062,8131360
TN,2003,3,4703,13724231,2595319,8476652
TN,2003,4,4704,25472947,4100464,11666003
TN,2003,5,4705,12981080,3136975,20258651
TN,2004,1,4701,9100233,3490490,11697132
TN,2004,2,4702,23620781,6291705,10380900
TN,2004,3,4703,13424693,2586715,7952718
TN,2004,4,4704,24275481,3430846,10586671
TN,2004,5,4705,11699184,3057456,16022971
TN,2005,1,4701,11684568,1628079,8858996
TN,2005,2,4702,27384181,4916342,7919279
TN,2005,3,4703,14695448,1069936,5816636
TN,2005,4,4704,22965818,3157873,11842234
TN,2005,5,4705,14498591,1081502,6974869
TN,2006,1,4701,10848525,1488673,8537860
TN,2006,2,4702,29223888,2703428,11867145
TN,2006,3,4703,11579964,1495438,6254588
TN,2006,4,4704,22283682,1488793,13943572
TN,2006,5,4705,14905106,1129131,6122453
TN,2007,1,4701,10274851,1024315,8399730
TN,2007,2,4702,28737982,2740027,11873523
TN,2007,3,4703,10911562,1563302,6564778
TN,2007,4,4704,20965737,1612721,10411450
TN,2007,5,4705,15005305,1314697,4755979
TN,2008,1,4701,10016030,851619,9434758
TN,2008,2,4702,27706710,2343516,15820141
TN,2008,3,4703,10639787,1620821,5396916
TN,2008,4,4704,19186006,1641178,11258088
TN,2008,5,4705,15097663,1481549,4688059
TN,2009,1,4701,9738349,396662,8218347
TN,2009,2,4702,27156046,2335926,18344323
TN,2009,3,4703,10206192,1423404,5420933
TN,2009,4,4704,19048101,1912671,12712896
TN,2009,5,4705,15158365,1579673,5274834
TN,2010,1,4701,8490433,483258,6717456
TN,2010,2,4702,24645265,2934230,22556546
TN,2010,3,4703,7872523,2484184,5362063
TN,2010,4,4704,19183979,1923870,12325553
TN,2010,5,4705,13534160,1594557,4143763
TN,2011,1,4701,7966415,909162,6021442
TN,2011,2,4702,21343797,3163038,28865890
TN,2011,3,4703,8137095,2878356,5358165
TN,2011,4,4704,20365352,2195159,13667173
TN,2011,5,4705,12852684,1763355,2738735
TN,2012,1,4701,8051702,523479,4710423
TN,2012,2,4702,20159325,3041960,38131658
TN,2012,3,4703,8768892,2583361,6191782
TN,2012,4,4704,18469157,3049720,12737198
TN,2012,5,4705,11193525,2826608,2556110
TN,2013,1,4701,7158305,897060,5132988
TN,2013,2,4702,21351418,3639558,35547818
TN,2013,3,4703,8546154,2848147,5701558
TN,2013,4,4704,19420342,3303906,10145727
TN,2013,5,4705,11239411,2873549,5754392
TN,2014,1,4701,7178224,1231993,5011199
TN,2014,2,4702,21807323,4302114,35980412
TN,2014,3,4703,8930390,2901909,5558438
TN,2014,4,4704,20102774,3247565,9979988
TN,2014,5,4705,11748092,2459622,5776475
TX,1975,1,4801,7987831,545842,4080264
TX,1975,2,4802,4561865,89989,2326442
TX,1986,1,4801,6546216,767180,6936960
TX,1986,2,4802,6043914,605269,2864339
TX,1992,1,4801,6753411,903589,7373016
TX,1992,2,4802,6027732,471442,4529480
TX,2003,1,4801,5887974,1337113,4059042
TX,2003,2,4802,5898716,802958,5126776
TX,2006,1,4801,2052212,383693,6414566
TX,2006,2,4802,-184006,4770302,5472314
TX,2007,1,4801,2206749,1352892,5023851
TX,2007,2,4802,1169018,3616260,4891706
TX,2008,1,4801,2830903,1084755,5048845
TX,2008,2,4802,2387963,2911795,4355411
TX,2009,1,4801,908351,3009540,4071995
TX,2009,2,4802,1808203,3714938,4254703
TX,2010,1,4801,-116321,4724713,3159192
TX,2010,2,4802,2492445,4347360,1589068
TX,2011,1,4801,-2028060,7593672,2184641
TX,2011,2,4802,3743951,2817474,1241129
TX,2012,1,4801,-2836968,7730455,2498462
TX,2012,2,4802,3891583,2767021,2012393
TX,2013,1,4801,-3453327,8349403,1887241
TX,2013,2,4802,2120587,3664374,3503429
TX,2014,1,4801,-1632544,6442084,1974124
TX,2014,2,4802,2032157,3281065,3867169
TX,2014,3,4803,719126,397887,430053
TX,2014,4,4804,141729,0,485865
TX,2014,5,4805,0,0,0
TX,2015,1,4801,-645226,5593549,1931414
TX,2015,2,4802,2450162,3285441,4422509
TX,2016,1,4801,2145151,2517103,2057619
TX,2016,2,4802,3664862,1954632,4420953
VA,1977,1,5101,25445973,1253898,20819778
VA,1977,2,5102,22732638,704350,14696015
VA,1977,3,5103,20517610,1202276,15277736
VA,1977,4,5104,8051136,1111913,4756100
VA,1977,5,5105,4942443,828629,1496768
VA,1985,1,5101,20917280,1273040,19258134
VA,1985,2,5102,21092416,997900,16043154
VA,1985,3,5103,16781936,1683468,11837503
VA,1985,4,5104,9316692,521600,2443400
VA,1985,5,5105,6003434,1039585,2528473
VA,1992,1,5101,19718158,1690349,24307085
VA,1992,2,5102,21888074,1593001,16739000
VA,1992,3,5103,13515884,2933920,11528203
VA,1992,4,5104,6377106,1601864,4736042
VA,1992,5,5105,6307101,985769,2468701
VA,2001,1,5101,21248335,1538946,21403047
VA,2001,2,5102,21153214,2384604,18172808
VA,2001,3,5103,15975420,3483941,10785751
VA,2001,4,5104,7184028,979900,6780073
VA,2001,5,5105,7150015,2015614,8083642
VA,2005,1,5101,10201668,6444938,13271161
VA,2005,2,5102,22161789,3144684,16181490
VA,2005,3,5103,7322953,8388909,18681523
VA,2005,4,5104,11287959,2464341,8297404
VA,2005,5,5105,8022939,387492,6884059
VA,2006,1,5101,13373390,5917514,17876600
VA,2006,2,5102,20949454,3244120,16074348
VA,2006,3,5103,11416642,6446079,17383821
VA,2006,4,5104,11528723,1897449,6250674
VA,2006,5,5105,9185294,315038,5832338
VA,2007,1,5101,11733965,7798210,16229134
VA,2007,2,5102,20648237,4655505,17952675
VA,2007,3,5103,12539309,5676463,16098736
VA,2007,4,5104,11601103,1506561,5486304
VA,2007,5,5105,8032234,256491,4792589
VA,2008,1,5101,12871885,6803506,15150914
VA,2008,2,5102,17614774,4695648,18047906
VA,2008,3,5103,16270954,2485319,13039423
VA,2008,4,5104,13052376,1723631,4862704
VA,2008,5,5105,7648803,158468,6508969
VA,2009,1,5101,14336934,6972614,17186011
VA,2009,2,5102,14012002,3669817,14040507
VA,2009,3,5103,18299448,1375147,6286172
VA,2009,4,5104,13326104,858583,2026653
VA,2009,5,5105,8522799,16929,2537850
VA,2010,1,5101,14637058,6670594,13006991
VA,2010,2,5102,14296776,2977467,11332113
VA,2010,3,5103,16186008,2634215,7569465
VA,2010,4,5104,14281620,867417,3366222
VA,2010,5,5105,7847079,637722,3492794
VA,2011,1,5101,16060817,4538515,11389499
VA,2011,2,5102,16009800,1349465,9564471
VA,2011,3,5103,14686342,2529592,7059539
VA,2011,4,5104,14847359,812876,5332234
VA,2011,5,5105,8029429,900799,3361744
VA,2012,1,5101,14923632,4581990,12882054
VA,2012,2,5102,19859993,1158486,8479302
VA,2012,3,5103,15613670,2393272,9009009
VA,2012,4,5104,14394931,640584,5204382
VA,2012,5,5105,8645166,1801652,1433432
VA,2013,1,5101,13934925,3836751,10887633
VA,2013,2,5102,23192981,1407755,9789767
VA,2013,3,5103,13465051,2683669,9328755
VA,2013,4,5104,12717202,876044,7465888
VA,2013,5,5105,8545085,1938040,3237420
VA,2014,1,5101,11371332,4544922,8834223
VA,2014,2,5102,27094817,1031553,8839194
VA,2014,3,5103,13689734,2732933,9620712
VA,2014,4,5104,11407674,2707430,9059497
VA,2014,5,5105,8508398,1967842,3279397
VA,2015,1,5101,8525960,5956775,8889669
VA,2015,2,5102,29530405,1110857,9756653
VA,2015,3,5103,13932308,2162096,6708741
VA,2015,4,5104,10797207,3541750,8205579
VA,2015,5,5105,10008899,1400079,2180885
VT,1997,2,5002,99023,0,0
VT,1997,3,5003,496922,0,0
VT,2006,2,5002,2904,0,0
VT,2006,3,5003,211412,137038,530762
VT,2007,2,5002,107473,0,0
VT,2007,3,5003,213326,70741,378473
VT,2008,2,5002,0,0,0
VT,2008,3,5003,233795,140139,0
VT,2009,2,5002,0,0,0
VT,2009,3,5003,275245,64384,0
VT,2010,2,5002,0,0,0
VT,2010,3,5003,279644,45348,0
VT,2011,2,5002,69438,0,0
VT,2011,3,5003,434348,33450,0
VT,2012,2,5002,59417,0,0
VT,2012,3,5003,454314,26656,0
VT,2013,2,5002,67318,0,0
VT,2013,3,5003,474221,0,0
VT,2014,2,5002,65238,0,0
VT,2014,3,5003,500454,0,0
VT,2015,2,5002,66249,0,0
VT,2015,3,5003,500632,0,0
VT,2016,2,5002,69472,0,0
VT,2016,3,5003,496572,0,0
WI,1983,1,5501,133503,38095,20253
WI,1983,2,5502,990051,227123,79223
WI,1983,3,5503,2466413,431383,339246
WI,1983,4,5504,4778457,839893,755098
WI,1983,5,5505,1961913,101581,369025
WI,1996,1,5501,359403,5178,70626
WI,1996,2,5502,2580424,260926,658206
WI,1996,3,5503,4110076,413393,1308899
WI,1996,4,5504,6018728,899741,2849144
WI,1996,5,5505,2035661,298684,973977
WI,2003,1,5501,335542,0,0
WI,2003,2,5502,2496073,107068,2986762
WI,2003,3,5503,6690456,917793,7106544
WI,2003,4,5504,14013598,515981,6847304
WI,2003,5,5505,3936741,681217,0
WI,2004,1,5501,274893,0,0
WI,2004,2,5502,2557742,84096,2758585
WI,2004,3,5503,7662325,751284,6441408
WI,2004,4,5504,14450371,622951,6573893
WI,2004,5,5505,4147372,576390,0
WI,2005,1,5501,1478565,0,0
WI,2005,2,5502,2277516,1202647,731673
WI,2005,3,5503,10014330,1684841,7499299
WI,2005,4,5504,4699554,4969132,8888131
WI,2005,5,5505,2992312,0,4109259
WI,2006,1,5501,1148538,0,17960
WI,2006,2,5502,2493235,807242,652287
WI,2006,3,5503,9768379,1504749,6492307
WI,2006,4,5504,5434091,3570587,5932729
WI,2006,5,5505,4329819,857131,2914650
WI,2007,1,5501,870693,0,12143
WI,2007,2,5502,3349158,753905,510327
WI,2007,3,5503,7762578,1383429,5257955
WI,2007,4,5504,4797466,3415612,6573821
WI,2007,5,5505,4705478,334380,2189290
WI,2008,1,5501,834465,0,19287
WI,2008,2,5502,3252463,673327,644508
WI,2008,3,5503,6557556,1683675,4968802
WI,2008,4,5504,5812990,2706812,7686570
WI,2008,5,5505,5518805,621687,1409822
WI,2009,1,5501,676621,0,14642
WI,2009,2,5502,2927715,712406,750769
WI,2009,3,5503,6550063,1529892,4704683
WI,2009,4,5504,5611940,2412735,6272279
WI,2009,5,5505,3933271,1263342,1523011
WI,2010,1,5501,534731,0,14760
WI,2010,2,5502,3154209,520346,608304
WI,2010,3,5503,6047567,1205402,4560737
WI,2010,4,5504,4923513,2597428,4716184
WI,2010,5,5505,4067754,1323699,492866
WI,2011,1,5501,551890,0,773919
WI,2011,2,5502,2875931,565460,833178
WI,2011,3,5503,5864736,985297,4063198
WI,2011,4,5504,4699888,2616711,4824677
WI,2011,5,5505,3570755,1355546,1011627
WI,2012,1,5501,550179,0,777536
WI,2012,2,5502,2875367,433765,1358017
WI,2012,3,5503,5653399,1139225,3619452
WI,2012,4,5504,4697905,2581781,3507184
WI,2012,5,5505,3392366,1436332,915974
WI,2013,1,5501,581459,0,814977
WI,2013,2,5502,3253095,380476,1251899
WI,2013,3,5503,6063206,971402,3178839
WI,2013,4,5504,4761632,2637132,3257881
WI,2013,5,5505,3690987,1185079,913812
WI,2014,1,5501,376427,215806,841814
WI,2014,2,5502,3347240,323016,1193007
WI,2014,3,5503,6360116,1032086,3127461
WI,2014,4,5504,4621951,2772331,3635437
WI,2014,5,5505,3651430,1145980,845057
WI,2015,1,5501,392989,218219,900720
WI,2015,2,5502,3407473,256232,1320216
WI,2015,3,5503,6424053,997503,2218505
WI,2015,4,5504,4563887,2899040,3059298
WI,2015,5,5505,3952779,722286,857197
WI,2016,1,5501,408781,226350,904082
WI,2016,2,5502,3330707,246441,1477846
WI,2016,3,5503,5983022,1439628,2439083
WI,2016,4,5504,5589802,1773775,3063287
WI,2016,5,5505,3824248,748415,1365281
WV,1989,2,5402,9547757,885101,4010726
WV,1989,3,5403,11537959,1507889,5898388
WV,1989,4,5404,17972546,2171617,3316844
WV,2000,2,5402,10215828,1940199,10139192
WV,2000,3,5403,11804248,608824,6513369
WV,2000,4,5404,20361537,2047070,14561019
WV,2006,2,5402,9069518,2402151,11167201
WV,2006,3,5403,16868601,1185635,5878375
WV,2006,4,5404,13116806,7932001,12139444
WV,2008,2,5402,12591843,2652468,8933627
WV,2008,3,5403,15292037,3303081,5013949
WV,2008,4,5404,11531876,8371890,8776611
WV,2009,2,5402,15881136,561914,2607927
WV,2009,3,5403,16233241,3368367,20751897
WV,2009,4,5404,7578636,12864592,3046477
WV,2010,2,5402,18223876,429622,2861671
WV,2010,3,5403,13476514,3704061,13472693
WV,2010,4,5404,11268869,8085684,4448378
WV,2011,2,5402,22018085,1125235,7263975
WV,2011,3,5403,14638972,2844476,12307773
WV,2011,4,5404,10854548,7562172,10306068
WV,2012,2,5402,19888632,1306916,5793595
WV,2012,3,5403,13241025,3363805,10330405
WV,2012,4,5404,11306432,8917750,11149940
WV,2013,2,5402,18693666,1290361,4459031
WV,2013,3,5403,11879521,3927301,10838237
WV,2013,4,5404,11815684,7785062,9464773
WV,2014,2,5402,17168047,1332454,4217887
WV,2014,3,5403,10855941,3581172,11616939
WV,2014,4,5404,11482220,7518568,9602705
WV,2015,2,5402,17372832,1439533,3613234
WV,2015,3,5403,10471849,3359442,5743385
WV,2015,4,5404,10414870,8957944,9739921
WV,2016,2,5402,15011878,1301019,2900481
WV,2016,3,5403,9406375,4053004,7911602
WV,2016,4,5404,9180730,9994730,9548364
