Year,State,Total_Exp,Fire_Protection_Exp,Highway_Exp,Natural_Resources_Exp,Parks_Rec_Exp,Solid_Waste_Exp
1978,HI,4133.730687,55.28755364,223.7381974,67.527897,105.0386266,27.9334764
1978,IA,3285.461961,23.95819054,386.7278958,48.6394791,40.24537354,15.81082934
1978,ID,2847.272229,22.49835346,351.622393,137.9912184,30.90669594,15.6597146
1978,IL,3254.359064,44.55936214,192.4987295,16.22185227,54.3991939,24.9841409
1978,IN,2445.527057,28.22961608,171.8409506,26.0464351,28.18354662,12.0749543
1978,KS,3135.285959,32.28082192,295.3424658,51.04109589,30.71489726,19.24743151
1978,KY,2630.991413,22.37562326,286.1468144,42.45927978,37.28033241,15.60886427
1978,LA,3043.385844,28.61391006,312.1528632,62.85623003,44.82919637,28.53330056
1978,MA,3849.591004,91.55892608,198.3804045,9.64958159,37.2053696,24.46861924
1978,MD,3640.692399,50.54732314,223.126673,25.03489484,79.01099427,34.67208414
1978,ME,3052.981149,41.486535,286.1669659,62.33393178,27.491921,16.29263914
1978,MI,3722.564872,49.88023432,186.7585159,37.10219136,47.70210458,23.95855934
1978,MN,3948.334744,28.62963886,330.2132005,50.28592777,66.43287672,12.04682441
1978,MO,2418.49908,33.81673144,214.7375742,30.33790142,34.0867253,11.49928411
1978,MS,2655.816319,20.88504824,271.2644694,62.31270096,23.89871382,19.1414791
1978,MT,3689.947571,27.51150896,478.5626598,112.6649616,28.15856778,23.04092072
1978,NA,3364.709764,21.62028411,108.7369324,119.9132308,30.31027263,12.28023143
1978,NC,2716.525786,24.49418302,214.0597326,40.21218962,21.01719048,24.22121896
1978,ND,3334.13364,20.28878648,436.795699,89.7327189,29.62519201,17.73579109
1978,NE,4152.276216,31.84398976,355.4002558,70.92838875,38.31713555,13.07672634
1978,NH,2648.133408,56.65695068,307.8049328,29.76905829,27.61659192,14.21300448
1978,NJ,3474.482792,46.681812,134.9049109,18.69623181,64.13984492,24.2492178
1978,NM,3173.708401,32.11793214,303.4426494,72.7447496,44.49919224,21.60904684
1978,NV,3822.991656,71.54937414,375.2183589,54.68150209,109.5243394,5.490959666
1978,NY,5051.456366,60.30880606,175.3478876,9.091454104,57.79967196,51.52004978
1978,OH,3031.2412,42.0072249,181.8521675,17.60818822,31.3756947,19.68191923
1978,OK,2634.412753,34.84813164,218.2454576,30.88035654,40.22283168,19.9465204
1978,OR,3940.686259,79.77283558,251.598888,77.42732328,54.08816522,8.474185862
1978,PA,3241.97988,26.45357354,178.4623285,22.00437748,30.77514942,23.13056654
1978,RI,3339.758403,66.73109244,131.8613445,17.05252101,28.53361344,21.48739496
1978,SC,2588.191852,21.4520368,136.3495401,59.10578186,18.01051248,23.6780552
1978,SD,2952.934688,18.18577649,422.3425254,71.57619738,47.6981132,10.10159652
1978,TN,2998.72938,38.35309852,230.6513598,25.26883638,36.6063308,29.21221578
1978,TX,2669.376963,32.12562962,206.0918518,25.07688889,31.30192592,22.91985186
1978,US,3432.383391,43.24056822,215.1683479,38.09176531,47.46870042,24.56046286
1978,UT,3031.089182,32.56725146,227.5467836,67.39619884,82.03362574,17.1125731
1978,VA,2757.519354,32.94421252,278.281594,21.81973434,34.49943074,24.19165086
1978,VT,3319.590362,59.88353414,348.8514056,74.09638554,25.23293172,8.935742972
1978,WA,4377.902288,46.38210336,244.7107226,89.17459502,60.20673695,25.00179994
1978,WI,3560.254197,43.67025398,262.115368,36.65561774,51.58717176,23.7124408
1978,WV,2989.121165,19.4550182,405.1149246,41.23660947,34.32657306,12.51482059
1978,WY,4164.713626,26.41570438,555.9168592,111.6166282,73.19630484,23.3487298
1979,AK,10972.8933,121.7220844,889.1116625,407.8908189,119.662531,46.7146402
1979,AL,3067.670202,31.0387998,259.8618728,36.57734092,30.82876358,28.73719606
1979,AR,2614.333774,20.09511228,280.6164686,49.04535447,29.00044034,16.89299868
1979,AZ,3895.327389,41.38543248,286.5834598,63.2397572,58.65781487,32.97116844
1979,CA,4470.536785,63.8666208,148.6497829,80.38775422,75.40233048,20.48690716
1979,CO,3748.530362,45.3927694,266.5412426,52.61144261,78.07722007,13.90663391
1979,CT,3346.340116,64.72351422,192.879845,13.22157623,37.82687338,25.55943152
1979,DC,7692.172308,174.4646154,201.4984616,0,49.12,74.2
1979,DE,3771.028572,24.72941176,237.6470588,37.43193278,61.18655462,27.7579832
1979,FE,2383.898792,0,1.861359861,113.9481758,6.799752412,0
1979,FL,3001.037556,46.67027372,203.1606196,47.01845958,64.45767028,34.24697644
1979,GA,3219.852435,34.88354008,264.1977412,41.02055175,37.71708942,29.11608962
1979,HI,4096.248688,54.66736622,256.4071354,80.45330536,113.8803778,25.78174186
1979,IA,3677.242112,24.44924554,450.6934156,55.83950618,46.57407408,19.81481481
1979,ID,3055.876742,30.58092176,333.2818864,124.664523,32.78670954,18.61736334
1979,IL,3517.006054,51.32157586,238.6994824,19.01307362,62.9590243,25.63727296
1979,IN,2737.111434,34.43083076,211.9680058,31.53463006,31.66842392,15.36193419
1979,KS,3427.746065,32.9800085,375.5185028,60.59464058,35.66737559,18.49085496
1979,KY,3153.245195,25.86106534,366.3827567,52.77210324,41.6534871,18.4409665
1979,LA,3250.982117,29.32286128,287.2344128,66.25519575,48.85838569,28.80376994
1979,MA,4364.890206,99.41094458,187.8197978,10.32206344,41.2645521,26.82781456
1979,MD,3949.263183,53.23789072,252.5507039,24.12359818,76.52779766,38.92293008
1979,ME,3218.476403,43.36776492,323.9536955,68.23686554,38.01424756,14.60730187
1979,MI,4128.322038,49.18540902,227.3554932,41.36283185,59.82926829,26.24347076
1979,MN,4227.69679,30.21530864,381.6301235,59.24098766,69.86419754,12.11950617
1979,MO,2704.928746,34.89169382,266.191368,34.66083062,41.73819219,13.80089577
1979,MS,2998.961707,22.32229756,309.0610292,59.8061428,26.14359792,22.74511368
1979,MT,3871.130877,27.57814486,497.4714104,126.2160102,31.17916138,25.7382465
1979,NA,3707.195999,22.91745003,124.6906447,134.9038683,33.05279493,13.32361834
1979,NC,3149.958269,26.97681608,227.4058046,44.81092221,25.51777435,26.32491842
1979,ND,3740.281777,20.43185298,545.9938744,101.3874426,37.89892803,20.4502297
